"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
99,-0.196790175,0.549638211,-0.232904202,-1.126219797,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
100,0.022171823,0.212381067,-0.098383862,-1.20537326,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
101,1.45562075,-1.547729442,0.787173559,-0.932572826,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
102,-0.125808601,-0.251812229,0.020052524,-0.596790308,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
123,-0.196790175,-0.505153422,-0.232904202,1.694443555,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
124,-0.196790175,-0.745216775,-0.232904202,1.45051272,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
125,-0.196790175,0.432262103,-0.232904202,1.231548621,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
126,-0.196790175,1.041980529,-0.232904202,1.018034563,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
127,-0.196790175,1.207687976,-0.232904202,0.749527636,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
128,-0.196790175,-0.04308458,-0.232904202,0.423640189,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
129,-0.196790175,0.604874026,-0.232904202,0.109257729,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
130,-0.196790175,0.249027907,-0.232904202,-0.183383748,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
131,-0.196790175,0.155020797,-0.232904202,-0.435281304,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
132,-0.196790175,1.343653061,-0.232904202,-0.61542273,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
133,-0.196790175,0.77005036,-0.232904202,-0.935024398,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
134,-0.196790175,0.266554656,-0.232904202,-1.286537935,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
135,-0.196790175,-0.502497854,-0.232904202,-1.268304442,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
136,-0.196790175,0.621869662,-0.232904202,-0.959115148,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
137,-0.125808601,2.854140173,0.020052524,-0.890080487,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
138,0.191101283,-1.024582535,1.149689164,-1.006962828,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
158,-0.196790175,-1.505240353,-0.232904202,1.438527125,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
159,-0.196790175,0.110938367,-0.232904202,1.192272565,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
160,-0.196790175,-0.389370655,-0.232904202,0.949851027,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
161,-0.196790175,-1.264114774,-0.232904202,0.738436965,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
162,-0.196790175,0.126871776,-0.232904202,0.515952355,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
163,-0.196790175,-0.982093446,-0.232904202,0.258021162,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
164,-0.196790175,-0.304923591,-0.232904202,-0.038094659,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
165,-0.196790175,0.497589077,-0.232904202,-0.369983782,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
166,-0.063295787,-0.127531644,-0.150917815,-0.680803116,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
167,-0.063295787,0.016931258,-0.150917815,-0.931117982,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
168,-0.138066016,0.351532834,-0.126060796,-1.085986077,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
169,1.055360446,-1.250836933,2.873074353,-1.022880883,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
170,0.41429766,-1.157892051,1.282747326,-1.006310575,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
171,-0.196790175,1.388797718,-0.232904202,-0.768876229,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
172,-0.108313928,-0.707507708,0.082612837,-1.095933234,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
173,-0.070650235,-0.780270273,-0.232904202,-1.361336336,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
