"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
542,-0.196790175,1.158825524,-0.232904202,-0.986866092,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
543,-0.074550322,0.11571839,-0.232904202,-1.078431305,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
544,0.204918732,-1.307134976,-0.125329707,-1.400308165,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
562,-0.196790175,-1.416013267,-0.232904202,2.262770296,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
566,-0.196790175,0.130058457,0.393952225,1.069566112,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
567,-0.196790175,-0.151431757,-0.232904202,0.812687284,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
568,-0.196790175,1.151389933,-0.232904202,0.585580082,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
569,-0.196790175,0.12156064,-0.232904202,0.39925113,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
570,-0.196790175,-0.592787168,-0.232904202,0.267031962,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
572,-0.196790175,-1.23277907,-0.232904202,0.166079513,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
573,-0.196790175,-0.770710228,-0.232904202,0.144490052,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
574,-0.196790175,-0.008562195,-0.232904202,-0.098729341,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
575,-0.196790175,0.517771394,-0.232904202,-0.453847435,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
576,-0.196790175,-1.094689531,-0.232904202,-0.808954876,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
577,-0.196790175,0.068980392,-0.232904202,-1.164007863,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
578,2.038850825,-0.760087956,-0.232904202,-1.378336349,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
598,-0.196790175,0.584160596,0.393952225,1.79099004,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
600,-0.196790175,-0.217820958,0.393952225,1.154940247,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
601,-0.196790175,-0.776552478,0.393952225,0.853246538,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
