FID,Field1,x,y,WPreyD,Rgd,Alt
333,1861,8708000,3738110,0.2498390,59.9749985,4997.0000000
334,1862,8708500,3738110,0.2495880,60.5723000,4785.0000000
335,1863,8709000,3738110,0.2490760,54.7995987,4603.0000000
336,1864,8709500,3738110,0.2484480,67.0447998,4421.0000000
337,1865,8710000,3738110,0.2476990,120.9010010,4301.0000000
338,1866,8710500,3738110,0.2468040,56.5951004,4162.0000000
339,1867,8711000,3738110,0.2460190,74.5117035,4168.0000000
340,1868,8711500,3738110,0.2451720,60.4401016,4281.0000000
341,1869,8712000,3738110,0.2442560,74.8999023,4358.0000000
342,1870,8712500,3738110,0.2433330,30.9193001,4590.0000000
343,1871,8713000,3738110,0.2423600,25.0200005,4534.0000000
344,1872,8713500,3738110,0.2414790,32.6955986,4719.0000000
353,2033,8688500,3738610,0.2500000,79.1202011,4579.0000000
354,2034,8689000,3738610,0.2500000,129.9880066,4386.0000000
355,2035,8689500,3738610,0.2500000,86.7237015,4197.0000000
356,2036,8690000,3738610,0.2500000,58.6430016,4087.0000000
357,2037,8690500,3738610,0.2500000,53.9351006,3762.0000000
358,2038,8691000,3738610,0.2500000,20.0249996,3685.0000000
359,2039,8691500,3738610,0.2500000,11.1355000,3726.0000000
360,2040,8692000,3738610,0.2500000,26.8887005,3934.0000000
361,2041,8692500,3738610,0.2500000,46.2384987,4081.0000000
362,2042,8693000,3738610,0.2500000,36.5787010,4235.0000000
363,2043,8693500,3738610,0.2500000,40.9145012,4560.0000000
364,2044,8694000,3738610,0.2500000,57.3759995,4852.0000000
365,2045,8694500,3738610,0.2500000,44.2041016,4989.0000000
366,2046,8695000,3738610,0.2500000,39.4841995,5145.0000000
367,2047,8695500,3738610,0.2500000,39.2300987,5439.0000000
371,2051,8697500,3738610,0.2500000,110.7429962,5463.0000000
372,2052,8698000,3738610,0.2500000,51.2933006,5183.0000000
373,2053,8698500,3738610,0.2500000,18.7882996,4923.0000000
374,2054,8699000,3738610,0.2500000,30.7733994,4908.0000000
375,2055,8699500,3738610,0.2500000,41.7492981,4758.0000000
376,2056,8700000,3738610,0.2500000,50.7641983,5042.0000000
377,2057,8700500,3738610,0.2500000,27.4225998,4983.0000000
378,2058,8701000,3738610,0.2500000,47.1274986,5064.0000000
379,2059,8701500,3738610,0.2500000,56.7098007,5066.0000000
380,2060,8702000,3738610,0.2500000,42.5205994,4964.0000000
381,2061,8702500,3738610,0.2500000,67.1714020,5169.0000000
383,2063,8703500,3738610,0.2500000,15.9687004,5299.0000000
384,2064,8704000,3738610,0.2500000,17.9165001,5214.0000000
385,2065,8704500,3738610,0.2500000,29.0000000,5199.0000000
386,2066,8705000,3738610,0.2500000,52.2303009,5082.0000000
387,2067,8705500,3738610,0.2500000,128.1560059,5107.0000000
388,2068,8706000,3738610,0.2500000,84.9588013,5187.0000000
389,2069,8706500,3738610,0.2500000,65.8711014,5284.0000000
390,2070,8707000,3738610,0.2500000,30.1662006,5246.0000000
391,2071,8707500,3738610,0.2499260,39.6484985,5073.0000000
392,2072,8708000,3738610,0.2496230,42.2374001,4864.0000000
393,2073,8708500,3738610,0.2491570,27.9643002,4610.0000000
394,2074,8709000,3738610,0.2485940,64.4592972,4570.0000000
395,2075,8709500,3738610,0.2479280,59.1608009,4549.0000000
396,2076,8710000,3738610,0.2470490,27.6585999,4608.0000000
397,2077,8710500,3738610,0.2462030,55.1906013,4631.0000000
398,2078,8711000,3738610,0.2453710,109.5579987,4379.0000000
399,2079,8711500,3738610,0.2444800,50.2990990,4158.0000000
400,2080,8712000,3738610,0.2435210,19.8997002,4099.0000000
401,2081,8712500,3738610,0.2425490,107.3960037,4380.0000000
402,2082,8713000,3738610,0.2416330,50.0099983,4381.0000000
403,2083,8713500,3738610,0.2406950,41.1096001,4519.0000000
404,2084,8714000,3738610,0.2397180,46.2168999,4736.0000000
405,2085,8714500,3738610,0.2387430,25.5146999,5035.0000000
416,2242,8687500,3739110,0.2500000,57.4108009,4966.0000000
417,2243,8688000,3739110,0.2500000,34.0000000,5040.0000000
418,2244,8688500,3739110,0.2500000,52.5642014,4731.0000000
419,2245,8689000,3739110,0.2500000,32.8633995,4419.0000000
420,2246,8689500,3739110,0.2500000,79.3095016,4519.0000000
421,2247,8690000,3739110,0.2500000,123.9520035,4227.0000000
422,2248,8690500,3739110,0.2500000,57.6801987,3823.0000000
423,2249,8691000,3739110,0.2500000,16.6131992,3678.0000000
424,2250,8691500,3739110,0.2500000,8.2462101,3743.0000000
425,2251,8692000,3739110,0.2500000,70.2921982,3848.0000000
426,2252,8692500,3739110,0.2500000,85.6504974,4019.0000000
427,2253,8693000,3739110,0.2500000,56.6656990,4163.0000000
428,2254,8693500,3739110,0.2500000,65.1844025,4355.0000000
429,2255,8694000,3739110,0.2500000,61.0983009,4723.0000000
430,2256,8694500,3739110,0.2500000,54.9818001,4968.0000000
431,2257,8695000,3739110,0.2500000,41.9524002,5316.0000000
436,2262,8697500,3739110,0.2500000,22.0681000,5341.0000000
