"","x","y"
"1201",8694500,3736610
"1202",8695000,3736610
"1203",8695500,3736610
"1204",8696000,3736610
"1205",8696500,3736610
"1206",8697000,3736610
"1207",8697500,3736610
"1208",8698000,3736610
"1209",8698500,3736610
"1210",8699000,3736610
"1211",8699500,3736610
"1212",8700000,3736610
"1213",8700500,3736610
"1214",8701000,3736610
"1215",8701500,3736610
"1216",8702000,3736610
"1217",8702500,3736610
"1218",8703000,3736610
"1219",8703500,3736610
"1220",8704000,3736610
"1221",8704500,3736610
"1222",8705000,3736610
"1223",8705500,3736610
"1224",8706000,3736610
"1225",8706500,3736610
"1226",8707000,3736610
"1227",8707500,3736610
"1228",8708000,3736610
"1229",8708500,3736610
"1230",8709000,3736610
"1231",8709500,3736610
"1232",8710000,3736610
"1233",8710500,3736610
"1234",8711000,3736610
"1235",8711500,3736610
"1236",8712000,3736610
"1237",8712500,3736610
"1238",8713000,3736610
"1403",8690000,3737110
"1404",8690500,3737110
"1405",8691000,3737110
"1406",8691500,3737110
"1407",8692000,3737110
"1408",8692500,3737110
"1409",8693000,3737110
"1410",8693500,3737110
"1411",8694000,3737110
"1412",8694500,3737110
"1413",8695000,3737110
"1414",8695500,3737110
"1415",8696000,3737110
"1416",8696500,3737110
"1417",8697000,3737110
"1418",8697500,3737110
"1419",8698000,3737110
"1420",8698500,3737110
"1421",8699000,3737110
"1422",8699500,3737110
"1423",8700000,3737110
"1424",8700500,3737110
"1425",8701000,3737110
"1426",8701500,3737110
"1427",8702000,3737110
"1428",8702500,3737110
"1429",8703000,3737110
"1430",8703500,3737110
"1431",8704000,3737110
"1432",8704500,3737110
"1433",8705000,3737110
"1434",8705500,3737110
"1435",8706000,3737110
"1436",8706500,3737110
"1437",8707000,3737110
"1438",8707500,3737110
"1439",8708000,3737110
"1440",8708500,3737110
"1441",8709000,3737110
"1442",8709500,3737110
"1443",8710000,3737110
"1444",8710500,3737110
"1445",8711000,3737110
"1446",8711500,3737110
"1447",8712000,3737110
"1448",8712500,3737110
"1449",8713000,3737110
"1450",8713500,3737110
"1451",8714000,3737110
"1612",8689000,3737610
"1613",8689500,3737610
"1614",8690000,3737610
"1615",8690500,3737610
"1616",8691000,3737610
"1617",8691500,3737610
"1618",8692000,3737610
"1619",8692500,3737610
"1620",8693000,3737610
"1621",8693500,3737610
"1622",8694000,3737610
"1623",8694500,3737610
"1624",8695000,3737610
"1625",8695500,3737610
"1626",8696000,3737610
"1627",8696500,3737610
"1628",8697000,3737610
"1629",8697500,3737610
"1630",8698000,3737610
"1631",8698500,3737610
"1632",8699000,3737610
"1633",8699500,3737610
"1634",8700000,3737610
"1635",8700500,3737610
"1636",8701000,3737610
"1637",8701500,3737610
"1638",8702000,3737610
"1639",8702500,3737610
"1640",8703000,3737610
"1641",8703500,3737610
"1642",8704000,3737610
"1643",8704500,3737610
"1644",8705000,3737610
"1645",8705500,3737610
"1646",8706000,3737610
"1647",8706500,3737610
"1648",8707000,3737610
"1649",8707500,3737610
"1650",8708000,3737610
"1651",8708500,3737610
"1652",8709000,3737610
"1653",8709500,3737610
"1654",8710000,3737610
"1655",8710500,3737610
"1656",8711000,3737610
"1657",8711500,3737610
"1658",8712000,3737610
"1659",8712500,3737610
"1660",8713000,3737610
"1661",8713500,3737610
"1662",8714000,3737610
"1663",8714500,3737610
"1664",8715000,3737610
"1822",8688500,3738110
"1823",8689000,3738110
"1824",8689500,3738110
"1825",8690000,3738110
"1826",8690500,3738110
"1827",8691000,3738110
"1828",8691500,3738110
"1829",8692000,3738110
"1830",8692500,3738110
"1831",8693000,3738110
