sno	x	y	LargeLS	Ruggedness	SmallLS	DisFromVill	WildPrey	StdAlt
162	8687250	3748360	-0.196790175	0.126871776	-0.232904202	0.515952355	0.37273409	0.274187
163	8690250	3748360	-0.196790175	-0.982093446	-0.232904202	0.258021162	0.37273409	-0.872687
164	8693250	3748360	-0.196790175	-0.304923591	-0.232904202	-0.038094659	0.37273409	-1.695100
165	8696250	3748360	-0.196790175	0.497589077	-0.232904202	-0.369983782	0.37273409	-1.739043
166	8699250	3748360	-0.063295787	-0.127531644	-0.150917815	-0.680803116	1.337654701	-1.168789
167	8702250	3748360	-0.063295787	0.016931258	-0.150917815	-0.931117982	1.337654701	-0.382803
168	8705250	3748360	-0.138066016	0.351532834	-0.126060796	-1.085986077	1.337654701	-2.359422
169	8708250	3748360	1.055360446	-1.250836933	2.873074353	-1.022880883	-0.109726215	-2.160897
170	8711250	3748360	0.41429766	-1.157892051	1.282747326	-1.006310575	-0.109726215	-1.230577
171	8714250	3748360	-0.196790175	1.388797718	-0.232904202	-0.768876229	-0.109726215	-0.736402
172	8717250	3748360	-0.108313928	-0.707507708	0.082612837	-1.095933234	-0.109726215	-2.150856
173	8720250	3748360	-0.070650235	-0.780270273	-0.232904202	-1.361336336	-0.109726215	-2.449197
174	8723250	3748360	-0.093716461	-0.191796391	-0.232904202	-1.250203529	-0.109726215	-0.185634
191	8669250	3751360	-0.196790175	0.586816164	-0.232904202	1.729015339	-0.994236775	-0.530711
192	8672250	3751360	-0.196790175	0.315948222	-0.232904202	1.44583094	0.37273409	0.622385
193	8675250	3751360	-0.196790175	-0.727158912	-0.232904202	1.180170961	0.37273409	1.329458
194	8678250	3751360	-0.196790175	2.46855169	-0.232904202	0.937893843	0.37273409	1.107689
195	8681250	3751360	-0.196790175	0.226721135	-0.232904202	0.690126434	0.37273409	-0.560239
196	8684250	3751360	-0.196790175	-0.143996166	-0.232904202	0.450015601	0.37273409	-0.428266
197	8687250	3751360	-0.196790175	-0.132311667	-0.232904202	0.250672364	0.37273409	0.908179
198	8690250	3751360	-0.196790175	-0.692636527	-0.232904202	0.0139684	0.37273409	0.183139
199	8693250	3751360	-0.196790175	0.644176434	-0.232904202	-0.224752696	0.37273409	0.242873
200	8696250	3751360	-0.196790175	-0.039366785	-0.232904202	-0.530545775	0.37273409	-0.979505
201	8699250	3751360	-0.196790175	0.823692835	-0.232904202	-0.812727527	1.337654701	-2.301638
202	8702250	3751360	-0.140071775	1.146609911	-0.12971624	-1.161018863	1.337654701	-0.568001
203	8705250	3751360	-0.196790175	-1.368744155	-0.232904202	-1.364392811	-0.109726215	-2.688276
204	8708250	3751360	0.298186514	-1.251368047	0.99490722	-1.240225595	-0.109726215	-1.169446
205	8711250	3751360	0.297629359	-0.605002781	0.993445043	-0.913610134	-0.109726215	0.236261
206	8714250	3751360	-0.108313928	-0.380341723	0.082612837	-0.701803062	-0.109726215	0.062850
207	8717250	3751360	-0.196790175	0.467315601	-0.232904202	-1.014135245	-0.109726215	0.117491
208	8720250	3751360	-0.190104313	0.089693823	-0.232904202	-1.257696746	-0.109726215	-2.162499
209	8723250	3751360	-0.093716461	0.546982643	-0.232904202	-1.286852816	-0.109726215	-2.283199
225	8666250	3754360	-0.196790175	-0.721316662	-0.232904202	1.822368033	-0.994236775	0.517784
226	8669250	3754360	-0.196790175	-0.360159406	-0.232904202	1.536619604	-0.994236775	1.174076
228	8675250	3754360	-0.196790175	-1.365557473	-0.232904202	0.946724711	0.37273409	1.253009
229	8678250	3754360	-0.196790175	0.096067186	-0.232904202	0.678022462	0.37273409	0.801053
230	8681250	3754360	-0.196790175	-0.900833063	-0.232904202	0.438109318	0.37273409	-0.169043
232	8687250	3754360	-0.196790175	2.890787012	-0.232904202	-0.048105738	0.37273409	1.107381
233	8690250	3754360	-0.196790175	-0.120627167	-0.232904202	-0.225333924	0.37273409	1.244549
234	8693250	3754360	-0.196790175	0.662234297	-0.232904202	-0.48775868	0.37273409	0.406304
235	8696250	3754360	-0.196790175	0.173609774	-0.232904202	-0.713144691	0.37273409	-0.254547
236	8699250	3754360	-0.033989422	1.714901475	0.170865699	-1.018744816	0.37273409	-0.519006
