sno,x,y,villdist,rugged,WP numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity
343,8705250,3763360,2501.56,50.69,940,0.58,0,0,0,0
344,8708250,3763360,3675.76,42.05,940,0.58,0,0,0,0
345,8711250,3763360,3578.62,25.63,940,0.58,387,354,18.89,17.28
346,8714250,3763360,1126.14,45.97,117,0.23,387,354,13,11.89
347,8717250,3763360,2780.26,33.07,117,0.23,387,354,13,11.89
348,8720250,3763360,5673.76,29.08,117,0.23,387,354,16,14.64
367,8672250,3766360,15345.05,41.78,15,0.01,0,0,0,0
368,8675250,3766360,13021.28,75.05,15,0.01,0,0,0,0
369,8678250,3766360,10768.83,42.25,169,0.29,0,0,0,0
370,8681250,3766360,8588.19,10.09,169,0.29,0,0,0,0
371,8684250,3766360,6013.56,23.79,169,0.29,0,0,0,0
372,8687250,3766360,3980.47,33.55,169,0.29,90,0,22.21,0
373,8690250,3766360,1056.43,16.44,169,0.29,90,0,32.69,0
374,8693250,3766360,2094.75,29.63,940,0.58,30,1,15.57,0.52
375,8696250,3766360,3166.53,17.12,940,0.58,30,1,6.73,0.22
376,8699250,3766360,4724.74,28.17,940,0.58,219,200,123.34,112.64
377,8702250,3766360,3518.93,22.76,940,0.58,219,200,198.39,181.18
378,8705250,3766360,4256.45,23.25,940,0.58,0,0,0,0
379,8708250,3766360,6469.29,34.4,940,0.58,0,0,0,0
380,8711250,3766360,3942.66,63.41,940,0.58,0,0,0,0
381,8714250,3766360,2001.57,43.36,940,0.58,0,0,0,0
382,8717250,3766360,3235.42,32.38,117,0.23,387,354,13,11.89
383,8720250,3766360,5910.13,45.22,117,0.23,387,354,16,14.64
400,8666250,3769360,16916.27,6.8,15,0.01,0,0,0,0
402,8672250,3769360,13236.42,32.83,15,0.01,0,0,0,0
403,8675250,3769360,11104.13,42.28,15,0.01,0,0,0,0
404,8678250,3769360,8843.26,63.26,15,0.01,0,0,0,0
405,8681250,3769360,6528.18,45.79,169,0.29,194,0,77.75,0
406,8684250,3769360,4812.22,79.87,169,0.29,194,0,43.65,0
407,8687250,3769360,1887.68,55.79,169,0.29,0,0,0,0
408,8690250,3769360,1012.95,7.62,940,0.58,0,0,0,0
409,8693250,3769360,2204.32,20.78,940,0.58,0,0,0,0
410,8696250,3769360,1988.46,15.78,940,0.58,49,73,9.95,14.82
411,8699250,3769360,4375.02,8.41,940,0.58,219,200,80.05,73.1
412,8702250,3769360,6499.42,16.45,940,0.58,0,0,0,0
413,8705250,3769360,6926.53,18.93,940,0.58,0,0,0,0
415,8711250,3769360,6023.51,101.27,940,0.58,0,0,0,0
416,8714250,3769360,4974.37,57.98,940,0.58,0,0,0,0
417,8717250,3769360,5586.24,31.52,117,0.23,387,354,16,14.64
418,8720250,3769360,7461.08,27.47,117,0.23,387,354,5.85,5.35
419,8723250,3769360,9906.03,54.05,117,0.23,387,354,5.85,5.35
431,8654250,3772360,23711.59,16.5,15,0.01,0,0,0,0
432,8657250,3772360,21184.84,12.84,15,0.01,0,0,0,0
434,8663250,3772360,16610.62,27.51,15,0.01,0,0,0,0
435,8666250,3772360,14712.94,23.09,15,0.01,0,0,0,0
438,8675250,3772360,9051.33,32.6,15,0.01,0,0,0,0
439,8678250,3772360,6865.34,104.15,15,0.01,0,0,0,0
440,8681250,3772360,4780.44,39.82,15,0.01,0,0,0,0
441,8684250,3772360,2294.9,34.38,15,0.01,194,0,26.7,0
442,8687250,3772360,2383.38,14.75,169,0.29,0,0,0,0
443,8690250,3772360,2612.67,26.52,940,0.58,30,1,7.68,0.26
444,8693250,3772360,998.87,38.12,940,0.58,160,331,349.87,723.8
445,8696250,3772360,1659.13,10.52,940,0.58,49,73,15.64,23.31
446,8699250,3772360,4235.51,21.56,940,0.58,49,73,4.74,7.06
447,8702250,3772360,7150.27,22.97,940,0.58,0,0,0,0
448,8705250,3772360,9789.61,60.2,940,0.58,0,0,0,0
451,8714250,3772360,7967.59,40.57,940,0.58,0,0,0,0
452,8717250,3772360,8363.26,51.45,940,0.58,0,0,0,0
453,8720250,3772360,9716.26,24.53,117,0.23,387,354,5.85,5.35
454,8723250,3772360,11699.04,40.15,117,0.23,387,354,5.85,5.35
461,8639250,3775360,27999.3,50.36,15,0.01,0,0,0,0
462,8642250,3775360,26388.04,89.99,15,0.01,0,0,0,0
463,8645250,3775360,25033.9,20.29,15,0.01,0,0,0,0
466,8654250,3775360,22333.67,33.81,15,0.01,0,0,0,0
467,8657250,3775360,19630.35,34.24,15,0.01,0,0,0,0
469,8663250,3775360,14576.22,73.76,15,0.01,0,0,0,0
470,8666250,3775360,12370.28,24.02,15,0.01,0,0,0,0
471,8669250,3775360,10563.22,50.71,15,0.01,0,0,0,0
472,8672250,3775360,8435.93,44.72,15,0.01,0,0,0,0
473,8675250,3775360,6533.48,26.22,15,0.01,0,0,0,0
474,8678250,3775360,4952.67,27.79,15,0.01,0,0,0,0
475,8681250,3775360,2638.94,73.08,15,0.01,0,0,0,0
476,8684250,3775360,1871.36,25.59,15,0.01,0,0,0,0
477,8687250,3775360,1978.88,39.34,940,0.58,194,0,153.43,0
478,8690250,3775360,2577.8,39.51,940,0.58,180,435,71.96,173.9
479,8693250,3775360,2440.54,9.54,940,0.58,0,0,0,0
480,8696250,3775360,3250.76,32.2,940,0.58,180,435,54.01,130.52
481,8699250,3775360,5737.1,23.53,940,0.58,0,0,0,0
482,8702250,3775360,8241.67,20.7,940,0.58,0,0,0,0
485,8711250,3775360,11478.63,47.55,940,0.58,0,0,0,0
486,8714250,3775360,10964.51,26.89,940,0.58,0,0,0,0
487,8717250,3775360,11255.32,40.24,940,0.58,387,354,5.98,5.47
488,8720250,3775360,12294.06,63.94,117,0.23,0,0,0,0
489,8723250,3775360,13914.22,65.77,117,0.23,387,354,5.85,5.35
494,8633250,3778360,29745.63,46.41,15,0.01,0,0,0,0
495,8636250,3778360,27589.32,57.82,15,0.01,0,0,0,0
496,8639250,3778360,25603.49,19.05,15,0.01,0,0,0,0
497,8642250,3778360,23830.79,21.32,15,0.01,0,0,0,0
499,8648250,3778360,21133.91,52.48,15,0.01,0,0,0,0
502,8657250,3778360,18436.48,35.22,15,0.01,0,0,0,0
503,8660250,3778360,15635.27,51.91,15,0.01,0,0,0,0
505,8666250,3778360,10371.94,52.6,15,0.01,0,0,0,0
506,8669250,3778360,8132.34,28.15,15,0.01,0,0,0,0
507,8672250,3778360,6533.97,47.07,15,0.01,0,0,0,0
508,8675250,3778360,4203.26,31.33,15,0.01,0,0,0,0
509,8678250,3778360,2552.88,51.18,15,0.01,0,0,0,0
510,8681250,3778360,1769.59,40.84,15,0.01,0,0,0,0
511,8684250,3778360,251.72,23.11,940,0.58,0,0,0,0
512,8687250,3778360,1813.12,29.73,940,0.58,0,0,0,0
513,8690250,3778360,1507.21,64.94,940,0.58,0,0,0,0
514,8693250,3778360,1702.99,12.78,940,0.58,0,0,0,0
515,8696250,3778360,4495.7,44.6,940,0.58,0,0,0,0
516,8699250,3778360,7451.34,23.71,940,0.58,0,0,0,0
520,8711250,3778360,14370,18.44,940,0.58,0,0,0,0
