,sno,x,y,villdist,rugged,WP.numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity,Z.LargeLSDensity,Z.rugged,Z.SmallLSDensity,Z.villdist,Z.WPDensity
89,238,8705250,3754360,1174.5,26.96,117,0.23,198,524,32.23,85.28,0.162352074,-0.566231488,0.657770841,-1.310047458,0.009826128
90,239,8708250,3754360,2367.34,10.48,117,0.23,198,524,74.9,198.22,0.637828331,-1.44150672,1.837330403,-1.168843533,0.009826128
91,240,8711250,3754360,4790.94,48.46,117,0.23,0,0,0,0,-0.196790175,0.575662778,-0.232904202,-0.881946855,0.009826128
92,242,8717250,3754360,5697.48,41.63,117,0.23,13,0,0.6,0,-0.190104313,0.212912181,-0.232904202,-0.77463405,0.009826128
93,243,8720250,3754360,3752.26,24.63,117,0.23,115,0,5.8,0,-0.132160171,-0.689980959,-0.232904202,-1.004901898,0.009826128
94,244,8723250,3754360,2761.49,65.79,117,0.23,115,0,5.8,0,-0.132160171,1.496082667,-0.232904202,-1.122185534,0.009826128
95,261,8669250,3757360,23476.58,24.12,15,0.01,0,0,0,0,-0.196790175,-0.717067753,-0.232904202,1.329989126,-0.949336105
96,264,8678250,3757360,16036.55,36.62,169,0.29,0,0,0,0,-0.196790175,-0.053175739,-0.232904202,0.449266279,0.271415828
97,265,8681250,3757360,13727.44,35.01,169,0.29,0,0,0,0,-0.196790175,-0.13868503,-0.232904202,0.175922498,0.271415828
98,266,8684250,3757360,11735.19,39.08,169,0.29,0,0,0,0,-0.196790175,0.07747821,-0.232904202,-0.059912585,0.271415828
99,267,8687250,3757360,9589.2,71.8,169,0.29,0,0,0,0,-0.196790175,1.815281948,-0.232904202,-0.313946833,0.271415828
100,268,8690250,3757360,7665.3,69.46,169,0.29,0,0,0,0,-0.196790175,1.691001363,-0.232904202,-0.541690899,0.271415828
101,269,8693250,3757360,6268.03,50.83,169,0.29,0,0,0,0,-0.196790175,0.701536704,-0.232904202,-0.707094481,0.271415828
102,270,8696250,3757360,3891.72,46.82,169,0.29,70,0,8.96,0,-0.096947961,0.488560145,-0.232904202,-0.988393146,0.271415828
103,271,8699250,3757360,2417.95,43.53,169,0.29,70,0,13.4,0,-0.047472579,0.313823767,-0.232904202,-1.162852511,0.271415828
104,272,8702250,3757360,1490.65,54.25,940,0.58,5,23,1.61,7.41,-0.178849777,0.883177559,-0.15551323,-1.272622807,1.535766044
105,273,8705250,3757360,1035.47,20.32,117,0.23,48,122,8.47,21.53,-0.102408082,-0.918890926,-0.008042175,-1.326505308,0.009826128
106,274,8708250,3757360,2478.63,65.19,117,0.23,0,0,0,0,-0.196790175,1.46421585,-0.232904202,-1.15566944,0.009826128
107,275,8711250,3757360,3334.15,43.75,117,0.23,0,0,0,0,-0.196790175,0.325508267,-0.232904202,-1.054396191,0.009826128
108,276,8714250,3757360,5838.62,42.13,117,0.23,0,0,0,0,-0.196790175,0.239467862,-0.232904202,-0.757926426,0.009826128
109,277,8717250,3757360,7500.25,42.85,117,0.23,0,0,0,0,-0.196790175,0.277708042,-0.232904202,-0.561228899,0.009826128
110,278,8720250,3757360,6598.87,43.37,117,0.23,115,0,5.8,0,-0.132160171,0.305325949,-0.232904202,-0.667930882,0.009826128
111,279,8723250,3757360,5020.52,43.84,117,0.23,115,0,5.14,0,-0.139514619,0.330288289,-0.232904202,-0.854770036,0.009826128
112,296,8669250,3760360,21453.55,43.26,15,0.01,0,0,0,0,-0.196790175,0.2994837,-0.232904202,1.090510422,-0.949336105
113,297,8672250,3760360,19252.76,64.65,15,0.01,0,0,0,0,-0.196790175,1.435535715,-0.232904202,0.829989156,-0.949336105
114,298,8675250,3760360,16821.3,56.25,169,0.29,0,0,0,0,-0.196790175,0.989400281,-0.232904202,0.542162041,0.271415828
115,300,8681250,3760360,11862.91,35.1,169,0.29,0,0,0,0,-0.196790175,-0.133905008,-0.232904202,-0.044793571,0.271415828
116,301,8684250,3760360,9486.86,52.27,169,0.29,0,0,0,0,-0.196790175,0.778017064,-0.232904202,-0.326061458,0.271415828
117,302,8687250,3760360,7567.85,45.2,169,0.29,0,0,0,0,-0.196790175,0.40251974,-0.232904202,-0.553226664,0.271415828
118,303,8690250,3760360,5352.02,82.31,169,0.29,0,0,0,0,-0.196790175,2.373482354,-0.232904202,-0.815528309,0.271415828
119,304,8693250,3760360,3667.18,26.36,169,0.29,0,0,0,0,-0.196790175,-0.598098304,-0.232904202,-1.014973349,0.271415828
120,305,8696250,3760360,2036.95,38.71,169,0.29,106,236,7.13,15.86,-0.117339842,0.057827006,-0.067260368,-1.207953862,0.271415828
121,306,8699250,3760360,584.69,15.59,940,0.58,70,0,56.18,0,0.42922942,-1.170107664,-0.232904202,-1.379866954,1.535766044
122,307,8702250,3760360,2581.44,17.85,940,0.58,219,200,182.88,167.01,1.841060725,-1.050075988,1.511369238,-1.143499178,1.535766044
123,308,8705250,3760360,813.26,38.51,940,0.58,17,91,7.57,40.51,-0.112436876,0.047204734,0.190187332,-1.352809695,1.535766044
124,309,8708250,3760360,909.63,7.15,117,0.23,0,0,0,0,-0.196790175,-1.618367553,-0.232904202,-1.341401776,0.009826128
125,310,8711250,3760360,2408.4,34.29,117,0.23,387,354,80.61,73.73,0.701455456,-0.17692521,0.537141189,-1.163983004,0.009826128
126,311,8714250,3760360,4065.72,21.56,117,0.23,387,354,13,11.89,-0.05192982,-0.853032838,-0.108723547,-0.967795679,0.009826128
127,312,8717250,3760360,4794.97,51.31,117,0.23,387,354,13,11.89,-0.05192982,0.727030157,-0.108723547,-0.881469799,0.009826128
128,314,8723250,3760360,7796.51,33.71,117,0.23,115,0,5.14,0,-0.139514619,-0.2077298,-0.232904202,-0.526158751,0.009826128
129,330,8666250,3763360,21498.79,13.85,15,0.01,0,0,0,0,-0.196790175,-1.262521433,-0.232904202,1.095865764,-0.949336105
130,331,8669250,3763360,19586.72,37.21,15,0.01,0,0,0,0,-0.196790175,-0.021840035,-0.232904202,0.869522088,-0.949336105
131,332,8672250,3763360,17230.91,45.74,15,0.01,0,0,0,0,-0.196790175,0.431199875,-0.232904202,0.590650136,-0.949336105
132,333,8675250,3763360,15010.61,28.85,15,0.01,0,0,0,0,-0.196790175,-0.465851015,-0.232904202,0.32781935,-0.949336105
