sno	x	y	LargeLS	Ruggedness	SmallLS	DisFromVill	WildPrey
101	8714250	3742360	1.45562075	-1.547729442	0.787173559	-0.932572826	0.009826128
102	8717250	3742360	-0.125808601	-0.251812229	0.020052524	-0.596790308	0.009826128
123	8675250	3745360	-0.196790175	-0.505153422	-0.232904202	1.694443555	0.097022695
124	8678250	3745360	-0.196790175	-0.745216775	-0.232904202	1.45051272	0.097022695
125	8681250	3745360	-0.196790175	0.432262103	-0.232904202	1.231548621	0.097022695
126	8684250	3745360	-0.196790175	1.041980529	-0.232904202	1.018034563	0.097022695
127	8687250	3745360	-0.196790175	1.207687976	-0.232904202	0.749527636	0.097022695
128	8690250	3745360	-0.196790175	-0.04308458	-0.232904202	0.423640189	0.097022695
129	8693250	3745360	-0.196790175	0.604874026	-0.232904202	0.109257729	0.097022695
130	8696250	3745360	-0.196790175	0.249027907	-0.232904202	-0.183383748	0.097022695
131	8699250	3745360	-0.196790175	0.155020797	-0.232904202	-0.435281304	0.097022695
132	8702250	3745360	-0.196790175	1.343653061	-0.232904202	-0.61542273	0.097022695
133	8705250	3745360	-0.196790175	0.77005036	-0.232904202	-0.935024398	0.097022695
134	8708250	3745360	-0.196790175	0.266554656	-0.232904202	-1.286537935	0.097022695
135	8711250	3745360	-0.196790175	-0.502497854	-0.232904202	-1.268304442	0.009826128
136	8714250	3745360	-0.196790175	0.621869662	-0.232904202	-0.959115148	0.009826128
137	8717250	3745360	-0.125808601	2.854140173	0.020052524	-0.890080487	0.009826128
138	8720250	3745360	0.191101283	-1.024582535	1.149689164	-1.006962828	0.009826128
158	8675250	3748360	-0.196790175	-1.505240353	-0.232904202	1.438527125	0.271415828
159	8678250	3748360	-0.196790175	0.110938367	-0.232904202	1.192272565	0.271415828
160	8681250	3748360	-0.196790175	-0.389370655	-0.232904202	0.949851027	0.271415828
161	8684250	3748360	-0.196790175	-1.264114774	-0.232904202	0.738436965	0.271415828
162	8687250	3748360	-0.196790175	0.126871776	-0.232904202	0.515952355	0.271415828
163	8690250	3748360	-0.196790175	-0.982093446	-0.232904202	0.258021162	0.271415828
164	8693250	3748360	-0.196790175	-0.304923591	-0.232904202	-0.038094659	0.271415828
165	8696250	3748360	-0.196790175	0.497589077	-0.232904202	-0.369983782	0.271415828
166	8699250	3748360	-0.063295787	-0.127531644	-0.150917815	-0.680803116	0.271415828
167	8702250	3748360	-0.063295787	0.016931258	-0.150917815	-0.931117982	0.271415828
168	8705250	3748360	-0.138066016	0.351532834	-0.126060796	-1.085986077	0.271415828
169	8708250	3748360	1.055360446	-1.250836933	2.873074353	-1.022880883	0.009826128
170	8711250	3748360	0.41429766	-1.157892051	1.282747326	-1.006310575	0.009826128
171	8714250	3748360	-0.196790175	1.388797718	-0.232904202	-0.768876229	0.009826128
172	8717250	3748360	-0.108313928	-0.707507708	0.082612837	-1.095933234	0.009826128
173	8720250	3748360	-0.070650235	-0.780270273	-0.232904202	-1.361336336	0.009826128
174	8723250	3748360	-0.093716461	-0.191796391	-0.232904202	-1.250203529	0.009826128
191	8669250	3751360	-0.196790175	0.586816164	-0.232904202	1.729015339	-0.949336105
192	8672250	3751360	-0.196790175	0.315948222	-0.232904202	1.44583094	0.271415828
193	8675250	3751360	-0.196790175	-0.727158912	-0.232904202	1.180170961	0.271415828
194	8678250	3751360	-0.196790175	2.46855169	-0.232904202	0.937893843	0.271415828
195	8681250	3751360	-0.196790175	0.226721135	-0.232904202	0.690126434	0.271415828
196	8684250	3751360	-0.196790175	-0.143996166	-0.232904202	0.450015601	0.271415828
197	8687250	3751360	-0.196790175	-0.132311667	-0.232904202	0.250672364	0.271415828
198	8690250	3751360	-0.196790175	-0.692636527	-0.232904202	0.0139684	0.271415828
199	8693250	3751360	-0.196790175	0.644176434	-0.232904202	-0.224752696	0.271415828
200	8696250	3751360	-0.196790175	-0.039366785	-0.232904202	-0.530545775	0.271415828
201	8699250	3751360	-0.196790175	0.823692835	-0.232904202	-0.812727527	0.271415828
202	8702250	3751360	-0.140071775	1.146609911	-0.12971624	-1.161018863	0.271415828
203	8705250	3751360	-0.196790175	-1.368744155	-0.232904202	-1.364392811	0.009826128
204	8708250	3751360	0.298186514	-1.251368047	0.99490722	-1.240225595	0.009826128
205	8711250	3751360	0.297629359	-0.605002781	0.993445043	-0.913610134	0.009826128
206	8714250	3751360	-0.108313928	-0.380341723	0.082612837	-0.701803062	0.009826128
207	8717250	3751360	-0.196790175	0.467315601	-0.232904202	-1.014135245	0.009826128
208	8720250	3751360	-0.190104313	0.089693823	-0.232904202	-1.257696746	0.009826128
209	8723250	3751360	-0.093716461	0.546982643	-0.232904202	-1.286852816	0.009826128
225	8666250	3754360	-0.196790175	-0.721316662	-0.232904202	1.822368033	-0.949336105
226	8669250	3754360	-0.196790175	-0.360159406	-0.232904202	1.536619604	-0.949336105
228	8675250	3754360	-0.196790175	-1.365557473	-0.232904202	0.946724711	0.271415828
229	8678250	3754360	-0.196790175	0.096067186	-0.232904202	0.678022462	0.271415828
230	8681250	3754360	-0.196790175	-0.900833063	-0.232904202	0.438109318	0.271415828
232	8687250	3754360	-0.196790175	2.890787012	-0.232904202	-0.048105738	0.271415828
233	8690250	3754360	-0.196790175	-0.120627167	-0.232904202	-0.225333924	0.271415828
234	8693250	3754360	-0.196790175	0.662234297	-0.232904202	-0.48775868	0.271415828
235	8696250	3754360	-0.196790175	0.173609774	-0.232904202	-0.713144691	0.271415828
236	8699250	3754360	-0.033989422	1.714901475	0.170865699	-1.018744816	0.271415828
237	8702250	3754360	-0.033989422	-0.140809485	0.170865699	-1.263662909	0.271415828
238	8705250	3754360	0.162352074	-0.566231488	0.657770841	-1.310047458	0.009826128
239	8708250	3754360	0.637828331	-1.44150672	1.837330403	-1.168843533	0.009826128
240	8711250	3754360	-0.196790175	0.575662778	-0.232904202	-0.881946855	0.009826128
242	8717250	3754360	-0.190104313	0.212912181	-0.232904202	-0.77463405	0.009826128
243	8720250	3754360	-0.132160171	-0.689980959	-0.232904202	-1.004901898	0.009826128
244	8723250	3754360	-0.132160171	1.496082667	-0.232904202	-1.122185534	0.009826128
261	8669250	3757360	-0.196790175	-0.717067753	-0.232904202	1.329989126	-0.949336105
264	8678250	3757360	-0.196790175	-0.053175739	-0.232904202	0.449266279	0.271415828
265	8681250	3757360	-0.196790175	-0.13868503	-0.232904202	0.175922498	0.271415828
266	8684250	3757360	-0.196790175	0.07747821	-0.232904202	-0.059912585	0.271415828
267	8687250	3757360	-0.196790175	1.815281948	-0.232904202	-0.313946833	0.271415828
268	8690250	3757360	-0.196790175	1.691001363	-0.232904202	-0.541690899	0.271415828
269	8693250	3757360	-0.196790175	0.701536704	-0.232904202	-0.707094481	0.271415828
270	8696250	3757360	-0.096947961	0.488560145	-0.232904202	-0.988393146	0.271415828
271	8699250	3757360	-0.047472579	0.313823767	-0.232904202	-1.162852511	0.271415828
272	8702250	3757360	-0.178849777	0.883177559	-0.15551323	-1.272622807	1.535766044
273	8705250	3757360	-0.102408082	-0.918890926	-0.008042175	-1.326505308	0.009826128
274	8708250	3757360	-0.196790175	1.46421585	-0.232904202	-1.15566944	0.009826128
275	8711250	3757360	-0.196790175	0.325508267	-0.232904202	-1.054396191	0.009826128
276	8714250	3757360	-0.196790175	0.239467862	-0.232904202	-0.757926426	0.009826128
277	8717250	3757360	-0.196790175	0.277708042	-0.232904202	-0.561228899	0.009826128
278	8720250	3757360	-0.132160171	0.305325949	-0.232904202	-0.667930882	0.009826128
279	8723250	3757360	-0.139514619	0.330288289	-0.232904202	-0.854770036	0.009826128
296	8669250	3760360	-0.196790175	0.2994837	-0.232904202	1.090510422	-0.949336105
297	8672250	3760360	-0.196790175	1.435535715	-0.232904202	0.829989156	-0.949336105
298	8675250	3760360	-0.196790175	0.989400281	-0.232904202	0.542162041	0.271415828
300	8681250	3760360	-0.196790175	-0.133905008	-0.232904202	-0.044793571	0.271415828
301	8684250	3760360	-0.196790175	0.778017064	-0.232904202	-0.326061458	0.271415828
302	8687250	3760360	-0.196790175	0.40251974	-0.232904202	-0.553226664	0.271415828
303	8690250	3760360	-0.196790175	2.373482354	-0.232904202	-0.815528309	0.271415828
304	8693250	3760360	-0.196790175	-0.598098304	-0.232904202	-1.014973349	0.271415828
305	8696250	3760360	-0.117339842	0.057827006	-0.067260368	-1.207953862	0.271415828
306	8699250	3760360	0.42922942	-1.170107664	-0.232904202	-1.379866954	1.535766044
307	8702250	3760360	1.841060725	-1.050075988	1.511369238	-1.143499178	1.535766044
308	8705250	3760360	-0.112436876	0.047204734	0.190187332	-1.352809695	1.535766044
309	8708250	3760360	-0.196790175	-1.618367553	-0.232904202	-1.341401776	0.009826128
310	8711250	3760360	0.701455456	-0.17692521	0.537141189	-1.163983004	0.009826128
311	8714250	3760360	-0.05192982	-0.853032838	-0.108723547	-0.967795679	0.009826128
312	8717250	3760360	-0.05192982	0.727030157	-0.108723547	-0.881469799	0.009826128
314	8723250	3760360	-0.139514619	-0.2077298	-0.232904202	-0.526158751	0.009826128
330	8666250	3763360	-0.196790175	-1.262521433	-0.232904202	1.095865764	-0.949336105
331	8669250	3763360	-0.196790175	-0.021840035	-0.232904202	0.869522088	-0.949336105
332	8672250	3763360	-0.196790175	0.431199875	-0.232904202	0.590650136	-0.949336105
333	8675250	3763360	-0.196790175	-0.465851015	-0.232904202	0.32781935	-0.949336105
334	8678250	3763360	-0.196790175	0.223534453	-0.232904202	0.049941758	0.271415828
335	8681250	3763360	-0.196790175	-0.071764715	-0.232904202	-0.237458019	0.271415828
336	8684250	3763360	-0.196790175	1.133863184	-0.232904202	-0.529956261	0.271415828
337	8687250	3763360	-0.196790175	1.019142644	-0.232904202	-0.827652404	0.271415828
338	8690250	3763360	-0.013263249	0.110938367	-0.232904202	-1.025064924	0.271415828
339	8693250	3763360	-0.117339842	0.413142013	-0.067260368	-1.312278851	0.271415828
340	8696250	3763360	0.280914703	-0.42548638	0.7639876	-1.228817676	1.535766044
341	8699250	3763360	0.634262538	-1.214721208	0.478445202	-1.184114069	1.535766044
342	8702250	3763360	-0.196790175	-0.465319901	-0.232904202	-1.36344225	1.535766044
343	8705250	3763360	-0.196790175	0.694101113	-0.232904202	-1.152955073	1.535766044
344	8708250	3763360	-0.196790175	0.235218953	-0.232904202	-1.013957681	1.535766044
345	8711250	3763360	0.013703064	-0.636869598	-0.052429709	-1.02545675	1.535766044
346	8714250	3763360	-0.05192982	0.443415488	-0.108723547	-1.315772134	0.009826128
347	8717250	3763360	-0.05192982	-0.241721071	-0.108723547	-1.119963612	0.009826128
348	8720250	3763360	-0.018500508	-0.453635402	-0.080002201	-0.777441935	0.009826128
367	8672250	3766360	-0.196790175	0.220878885	-0.232904202	0.367409103	-0.949336105
368	8675250	3766360	-0.196790175	1.987893872	-0.232904202	0.092329925	-0.949336105
369	8678250	3766360	-0.196790175	0.245841225	-0.232904202	-0.174306657	0.271415828
370	8681250	3766360	-0.196790175	-1.462220151	-0.232904202	-0.432442642	0.271415828
371	8684250	3766360	-0.196790175	-0.734594503	-0.232904202	-0.737217685	0.271415828
372	8687250	3766360	0.05069817	-0.216227617	-0.232904202	-0.977887254	0.271415828
373	8690250	3766360	0.167477902	-1.124963007	-0.232904202	-1.324024142	0.271415828
374	8693250	3766360	-0.023292042	-0.424424153	-0.227473256	-1.201111715	1.535766044
375	8696250	3766360	-0.121797084	-1.088847282	-0.230606494	-1.074238418	1.535766044
376	8699250	3766360	1.1776003	-0.501966741	0.943522122	-0.889783363	1.535766044
377	8702250	3766360	2.013890272	-0.789299205	1.6593625	-1.032522628	1.535766044
378	8705250	3766360	-0.196790175	-0.763274638	-0.232904202	-0.945217777	1.535766044
379	8708250	3766360	-0.196790175	-0.17108296	-0.232904202	-0.683270077	1.535766044
380	8711250	3766360	-0.196790175	1.369677628	-0.232904202	-0.98236306	1.535766044
381	8714250	3766360	-0.196790175	0.304794836	-0.232904202	-1.212142014	1.535766044
382	8717250	3766360	-0.05192982	-0.27836791	-0.108723547	-1.066083479	0.009826128
383	8720250	3766360	-0.018500508	0.403581968	-0.080002201	-0.74946134	0.009826128
400	8666250	3769360	-0.196790175	-1.636956529	-0.232904202	0.553404233	-0.949336105
402	8672250	3769360	-0.196790175	-0.254467797	-0.232904202	0.117797392	-0.949336105
403	8675250	3769360	-0.196790175	0.247434566	-0.232904202	-0.134615101	-0.949336105
404	8678250	3769360	-0.196790175	1.361710923	-0.232904202	-0.402248412	-0.949336105
405	8681250	3769360	0.669586178	0.433855443	-0.232904202	-0.6762989	0.271415828
406	8684250	3769360	0.289606324	2.243890633	-0.232904202	-0.879427808	0.271415828
407	8687250	3769360	-0.196790175	0.964969055	-0.232904202	-1.225623885	0.271415828
408	8690250	3769360	-0.196790175	-1.593405213	-0.232904202	-1.329171142	1.535766044
409	8693250	3769360	-0.196790175	-0.8944597	-0.232904202	-1.188141229	1.535766044
410	8696250	3769360	-0.085916288	-1.160016506	-0.078122258	-1.213693926	1.535766044
411	8699250	3769360	0.695215318	-1.551447238	0.53056139	-0.931181905	1.535766044
412	8702250	3769360	-0.196790175	-1.124431894	-0.232904202	-0.6797034	1.535766044
413	8705250	3769360	-0.196790175	-0.992715718	-0.232904202	-0.629143721	1.535766044
415	8711250	3769360	-0.196790175	3.380473762	-0.232904202	-0.736039841	1.535766044
416	8714250	3769360	-0.196790175	1.081282936	-0.232904202	-0.8602331	1.535766044
417	8717250	3769360	-0.018500508	-0.324043681	-0.080002201	-0.787802224	0.009826128
418	8720250	3769360	-0.131603015	-0.539144693	-0.177028129	-0.565865696	0.009826128
419	8723250	3769360	-0.131603015	0.872555287	-0.177028129	-0.276441685	0.009826128
431	8654250	3772360	-0.196790175	-1.121776326	-0.232904202	1.357808728	-0.949336105
432	8657250	3772360	-0.196790175	-1.316163908	-0.232904202	1.05870154	-0.949336105
434	8663250	3772360	-0.196790175	-0.537020239	-0.232904202	0.517222533	-0.949336105
435	8666250	3772360	-0.196790175	-0.771772455	-0.232904202	0.292582292	-0.949336105
438	8675250	3772360	-0.196790175	-0.266683411	-0.232904202	-0.377617866	-0.949336105
439	8678250	3772360	-0.196790175	3.533434482	-0.232904202	-0.636387163	-0.949336105
440	8681250	3772360	-0.196790175	0.116780617	-0.232904202	-0.883189806	-0.949336105
441	8684250	3772360	0.100730708	-0.172145188	-0.232904202	-1.177418709	-0.949336105
442	8687250	3772360	-0.196790175	-1.214721208	-0.232904202	-1.166944778	0.271415828
443	8690250	3772360	-0.111211135	-0.589600487	-0.230188729	-1.139802288	1.535766044
444	8693250	3772360	3.7018477	0.026491303	7.32655401	-1.330837879	1.535766044
445	8696250	3772360	-0.022512025	-1.439382266	0.010548369	-1.252678777	1.535766044
446	8699250	3772360	-0.143971861	-0.853032838	-0.159168674	-0.947696575	1.535766044
447	8702250	3772360	-0.196790175	-0.778145819	-0.232904202	-0.602658219	1.535766044
448	8705250	3772360	-0.196790175	1.199190158	-0.232904202	-0.290223048	1.535766044
451	8714250	3772360	-0.196790175	0.156614138	-0.232904202	-0.505906942	1.535766044
452	8717250	3772360	-0.196790175	0.734465748	-0.232904202	-0.459069012	1.535766044
453	8720250	3772360	-0.131603015	-0.695292095	-0.177028129	-0.298905946	0.009826128
454	8723250	3772360	-0.131603015	0.134307366	-0.177028129	-0.064191887	0.009826128
461	8639250	3775360	-0.196790175	0.676574364	-0.232904202	1.865371757	-0.949336105
462	8642250	3775360	-0.196790175	2.781377608	-0.232904202	1.674636841	-0.949336105
463	8645250	3775360	-0.196790175	-0.920484267	-0.232904202	1.514338827	-0.949336105
466	8654250	3775360	-0.196790175	-0.202418664	-0.232904202	1.194695727	-0.949336105
467	8657250	3775360	-0.196790175	-0.179580778	-0.232904202	0.874686844	-0.949336105
469	8663250	3775360	-0.196790175	1.919380216	-0.232904202	0.276397891	-0.949336105
470	8666250	3775360	-0.196790175	-0.72237889	-0.232904202	0.015266987	-0.949336105
471	8669250	3775360	-0.196790175	0.69516334	-0.232904202	-0.198645998	-0.949336105
472	8672250	3775360	-0.196790175	0.377026287	-0.232904202	-0.45046661	-0.949336105
473	8675250	3775360	-0.196790175	-0.605533895	-0.232904202	-0.675671505	-0.949336105
474	8678250	3775360	-0.196790175	-0.522149058	-0.232904202	-0.862801864	-0.949336105
475	8681250	3775360	-0.196790175	1.88326449	-0.232904202	-1.136692544	-0.949336105
476	8684250	3775360	-0.196790175	-0.638994052	-0.232904202	-1.227555785	-0.949336105
477	8687250	3775360	1.512896306	0.091287164	-0.232904202	-1.214827971	1.535766044
478	8690250	3775360	0.605067605	0.100316095	1.583329265	-1.143930068	1.535766044
479	8693250	3775360	-0.196790175	-1.491431399	-0.232904202	-1.160178392	1.535766044
480	8696250	3775360	0.405048884	-0.287927955	1.13026309	-1.064267587	1.535766044
481	8699250	3775360	-0.196790175	-0.748403456	-0.232904202	-0.769943983	1.535766044
482	8702250	3775360	-0.196790175	-0.898708609	-0.232904202	-0.47346238	1.535766044
485	8711250	3775360	-0.196790175	0.527331439	-0.232904202	-0.090283196	1.535766044
486	8714250	3775360	-0.196790175	-0.569949283	-0.232904202	-0.151142793	1.535766044
487	8717250	3775360	-0.130154412	0.139087389	-0.175774834	-0.116717796	1.535766044
488	8720250	3775360	-0.196790175	1.397826649	-0.232904202	0.006244349	0.009826128
489	8723250	3775360	-0.131603015	1.49502044	-0.177028129	0.198032814	0.009826128
494	8633250	3778360	-0.196790175	0.466784487	-0.232904202	2.072095752	-0.949336105
495	8636250	3778360	-0.196790175	1.072785119	-0.232904202	1.816839862	-0.949336105
496	8639250	3778360	-0.196790175	-0.986342355	-0.232904202	1.581764755	-0.949336105
497	8642250	3778360	-0.196790175	-0.865779565	-0.232904202	1.371919177	-0.949336105
499	8648250	3778360	-0.196790175	0.78917045	-0.232904202	1.052672638	-0.949336105
502	8657250	3778360	-0.196790175	-0.127531644	-0.232904202	0.733360991	-0.949336105
503	8660250	3778360	-0.196790175	0.758896974	-0.232904202	0.401764258	-0.949336105
505	8666250	3778360	-0.196790175	0.795543813	-0.232904202	-0.221289007	-0.949336105
506	8669250	3778360	-0.196790175	-0.503028968	-0.232904202	-0.486404455	-0.949336105
507	8672250	3778360	-0.196790175	0.501837986	-0.232904202	-0.675613501	-0.949336105
508	8675250	3778360	-0.196790175	-0.334134839	-0.232904202	-0.951514209	-0.949336105
509	8678250	3778360	-0.196790175	0.72012568	-0.232904202	-1.146880004	-0.949336105
510	8681250	3778360	-0.196790175	0.170954206	-0.232904202	-1.239602936	-0.949336105
511	8684250	3778360	-0.196790175	-0.770710228	-0.232904202	-1.419282694	1.535766044
512	8687250	3778360	-0.196790175	-0.419113017	-0.232904202	-1.234450018	1.535766044
513	8690250	3778360	-0.196790175	1.45093801	-0.232904202	-1.270662497	1.535766044
514	8693250	3778360	-0.196790175	-1.319350589	-0.232904202	-1.247486794	1.535766044
515	8696250	3778360	-0.196790175	0.370652924	-0.232904202	-0.916896259	1.535766044
516	8699250	3778360	-0.196790175	-0.738843411	-0.232904202	-0.567018681	1.535766044
520	8711250	3778360	-0.196790175	-1.018740285	-0.232904202	0.251986341	1.535766044
521	8714250	3778360	-0.196790175	0.548575984	-0.232904202	0.203778797	1.535766044
522	8717250	3778360	-0.196790175	-0.740967866	-0.232904202	0.230946146	1.535766044
523	8720250	3778360	-0.130154412	-0.966160037	-0.175774834	0.330040088	1.535766044
524	8723250	3778360	-0.130154412	1.165198887	-0.175774834	0.490064653	1.535766044
528	8630250	3781360	-0.196790175	2.375606808	-0.232904202	2.133659688	-0.949336105
529	8633250	3781360	-0.196790175	1.065880642	-0.232904202	1.845058392	-0.949336105
530	8636250	3781360	-0.196790175	-0.872152928	-0.232904202	1.570670532	-0.949336105
531	8639250	3781360	-0.196790175	1.038793847	-0.232904202	1.314736346	-0.949336105
532	8642250	3781360	-0.196790175	0.817319471	-0.232904202	1.08285503	-0.949336105
533	8645250	3781360	-0.196790175	-0.669798642	-0.232904202	0.882217941	-0.949336105
534	8648250	3781360	-0.196790175	-0.805232613	-0.232904202	0.721503242	-0.949336105
535	8651250	3781360	-0.196790175	-0.788768091	-0.232904202	0.610081598	-0.949336105
537	8657250	3781360	-0.196790175	-0.752121252	-0.232904202	0.52120471	-0.949336105
538	8660250	3781360	-0.196790175	-0.288459069	-0.232904202	0.294771068	-0.949336105
539	8663250	3781360	-0.196790175	0.147054093	-0.232904202	-0.050572699	-0.949336105
540	8666250	3781360	-0.196790175	2.071278709	-0.232904202	-0.389428264	-0.949336105
541	8669250	3781360	-0.196790175	0.843344038	-0.232904202	-0.712781276	-0.949336105
542	8672250	3781360	-0.196790175	1.158825524	-0.232904202	-0.986866092	-0.949336105
543	8675250	3781360	-0.074550322	0.11571839	-0.232904202	-1.078431305	-0.949336105
544	8678250	3781360	0.204918732	-1.307134976	-0.125329707	-1.400308165	-0.949336105
545	8681250	3781360	-0.035438026	-0.12540719	0.088461547	-1.239997129	1.535766044
546	8684250	3781360	5.465689667	-1.095220645	2.787745845	-1.250435547	1.535766044
547	8687250	3781360	-0.196790175	-0.658114142	-0.232904202	-1.250441466	1.535766044
548	8690250	3781360	3.187036285	-0.821166021	1.572258491	-1.135320563	1.535766044
549	8693250	3781360	3.663849714	-0.085042555	1.826572953	-0.949031859	1.535766044
550	8696250	3781360	-0.196790175	1.514671644	-0.232904202	-0.747205089	1.535766044
553	8705250	3781360	-0.196790175	-0.827008271	-0.232904202	0.20433043	1.535766044
554	8708250	3781360	-0.196790175	-1.127087462	-0.232904202	0.504667548	1.535766044
555	8711250	3781360	-0.196790175	1.115805321	-0.232904202	0.598640533	1.535766044
556	8714250	3781360	-0.196790175	-0.916766471	-0.232904202	0.558772596	1.535766044
557	8717250	3781360	-0.196790175	-0.473286606	-0.232904202	0.581196609	1.535766044
558	8720250	3781360	-0.130154412	-0.760087956	-0.175774834	0.663927402	1.535766044
559	8723250	3781360	-0.130154412	-0.721847776	-0.175774834	0.800322884	1.535766044
562	8627250	3784360	-0.196790175	-1.416013267	-0.232904202	2.262770296	-0.949336105
566	8639250	3784360	-0.196790175	0.130058457	0.393952225	1.069566112	-0.949336105
567	8642250	3784360	-0.196790175	-0.151431757	-0.232904202	0.812687284	-0.949336105
568	8645250	3784360	-0.196790175	1.151389933	-0.232904202	0.585580082	-0.949336105
569	8648250	3784360	-0.196790175	0.12156064	-0.232904202	0.39925113	-0.949336105
570	8651250	3784360	-0.196790175	-0.592787168	-0.232904202	0.267031962	-0.949336105
572	8657250	3784360	-0.196790175	-1.23277907	-0.232904202	0.166079513	-0.949336105
573	8660250	3784360	-0.196790175	-0.770710228	-0.232904202	0.144490052	-0.949336105
574	8663250	3784360	-0.196790175	-0.008562195	-0.232904202	-0.098729341	-0.949336105
575	8666250	3784360	-0.196790175	0.517771394	-0.232904202	-0.453847435	-0.949336105
576	8669250	3784360	-0.196790175	-1.094689531	-0.232904202	-0.808954876	-0.949336105
577	8672250	3784360	-0.196790175	0.068980392	-0.232904202	-1.164007863	-0.949336105
578	8675250	3784360	2.038850825	-0.760087956	-0.232904202	-1.378336349	-0.949336105
579	8678250	3784360	-0.196790175	4.419331987	-0.232904202	-1.053788921	1.535766044
580	8681250	3784360	-0.196790175	0.03923803	-0.232904202	-1.248255056	1.535766044
581	8684250	3784360	-0.196790175	-0.331479271	-0.232904202	-1.372502768	1.535766044
582	8687250	3784360	8.244334137	-1.235434639	4.270080612	-1.029313448	1.535766044
583	8690250	3784360	3.639557747	-1.288014886	1.813622237	-0.803099987	1.535766044
584	8693250	3784360	1.383747728	-0.682014255	0.610250069	-0.639580954	1.535766044
585	8696250	3784360	-0.196790175	1.393046626	-0.232904202	-0.472213511	1.535766044
586	8699250	3784360	-0.196790175	0.72596793	-0.232904202	-0.245301629	1.535766044
589	8708250	3784360	-0.196790175	-0.671923096	-0.232904202	0.6596919	1.535766044
590	8711250	3784360	-0.196790175	-0.313421408	-0.232904202	0.947777076	1.535766044
591	8714250	3784360	-0.196790175	-0.870559587	-0.232904202	0.913807827	1.535766044
592	8717250	3784360	-0.196790175	-0.055300193	-0.232904202	0.932891262	1.535766044
593	8720250	3784360	-0.130154412	-1.296512704	-0.175774834	1.003789166	1.535766044
598	8630250	3787360	-0.196790175	0.584160596	0.393952225	1.79099004	-0.949336105
600	8636250	3787360	-0.196790175	-0.217820958	0.393952225	1.154940247	-0.949336105
601	8639250	3787360	-0.196790175	-0.776552478	0.393952225	0.853246538	-0.949336105
602	8642250	3787360	-0.196790175	0.03923803	-0.232904202	0.569019244	-0.949336105
603	8645250	3787360	-0.196790175	-0.779208046	-0.232904202	0.310741208	-0.949336105
604	8648250	3787360	-0.196790175	-0.344757111	-0.232904202	0.091522599	-0.949336105
609	8663250	3787360	-0.196790175	0.910264353	-0.232904202	-0.257424541	-0.949336105
610	8666250	3787360	-0.196790175	1.948060351	-0.232904202	-0.499451885	-0.949336105
611	8669250	3787360	-0.196790175	1.044636097	-0.232904202	-0.854405437	-0.949336105
612	8672250	3787360	1.286468428	1.718619271	0.06381341	-1.2088405	-0.949336105
613	8675250	3787360	-0.196790175	-1.509489262	-0.232904202	-1.330653212	1.535766044
614	8678250	3787360	-0.196790175	-1.328910634	-0.232904202	-1.037117994	1.535766044
615	8681250	3787360	15.53181287	-0.896584154	11.66681934	-1.29089063	1.535766044
616	8684250	3787360	0.971341441	-1.317226135	0.650877718	-1.084982247	1.535766044
617	8687250	3787360	5.390139421	0.165111956	2.74743152	-0.871167514	1.535766044
618	8690250	3787360	-0.196790175	0.303201495	-0.232904202	-0.579277726	1.535766044
621	8699250	3787360	-0.196790175	-0.668736415	-0.232904202	0.021619057	1.535766044
622	8702250	3787360	-0.196790175	0.305857063	-0.232904202	0.256792416	1.535766044
