"","FID","Field1","WPreyD","Rgd","Alt","StdAlt","StdRgd","StdWPreyD","D.0"
"16102",19676,28563,0.0391456,22.3383007,5333,1.09294690496707,-0.871414804750298,-0.866354952177351,2.5821778577467e-05
"16103",19677,28564,0.0393354,28.1424999,5159,0.751065598265733,-0.598604166783135,-0.865474307618538,2.58346486857877e-05
"16104",19678,28565,0.0395253,32.5575981,5069,0.57423043962711,-0.391084453016303,-0.864593199074182,2.58475319947865e-05
"16105",19679,28566,0.0396215,23,5103,0.64103483289059,-0.840313424188545,-0.864146844982729,2.58540609040186e-05
"16106",19680,28567,0.0397161,48.6724014,5218,0.86699086892883,0.366348160424729,-0.863707914659948,2.58604828325639e-05
"16107",19681,28568,0.0398107,77.026001,5257,0.943619437672233,1.69903219296819,-0.863268984337167,2.58669063562616e-05
"16108",19682,28569,0.0398107,14.2477999,5295,1.01828317131965,-1.25168684722635,-0.863268984337167,2.58669063562616e-05
"16109",19683,28570,0.0397161,31.1287994,5061,0.558511758859233,-0.458241259914601,-0.863707914659948,2.58604828325639e-05
"16110",19684,28571,0.0397161,40.7062988,4771,-0.011290418976329,-0.00807688212341072,-0.863707914659948,2.58604828325639e-05
"16111",19685,28572,0.0397161,45.2106018,4542,-0.461237655956824,0.203635661275756,-0.863707914659948,2.58604828325639e-05
"16112",19686,28573,0.0397161,53.338501,4517,-0.510358533356442,0.585665514090731,-0.863707914659948,2.58604828325639e-05
"16113",19687,28574,0.0397161,51.3128014,4522,-0.500534357876518,0.490452999639844,-0.863707914659948,2.58604828325639e-05
"16114",19688,28575,0.0396215,33.9411011,4674,-0.201879423286844,-0.326056647619913,-0.864146844982729,2.58540609040186e-05
"16115",19689,28576,0.0395268,16.8225994,4647,-0.254929970878431,-1.13066538155499,-0.864586239291051,2.58476337842509e-05
"16116",19690,28577,0.0394322,76.8635025,4564,-0.418011283845161,1.69139439179594,-0.865025169613832,2.58412150465072e-05
"16117",19691,28578,0.0394322,64,4562,-0.42194095403713,1.08678035244367,-0.865025169613832,2.58412150465072e-05
"16118",19692,28579,0.0395268,27.1292992,4528,-0.48874534730061,-0.646226917111169,-0.864586239291051,2.58476337842509e-05
"16119",19693,28580,0.0395268,54.5619011,4187,-1.15875411503139,0.643168116994175,-0.864586239291051,2.58476337842509e-05
"16120",19694,28581,0.0395268,51.4490013,4332,-0.87385302611361,0.496854706461013,-0.864586239291051,2.58476337842509e-05
"16121",19695,28582,0.0395268,61.2862015,4604,-0.339417880005773,0.959225615848944,-0.864586239291051,2.58476337842509e-05
"16122",19696,28583,0.0395268,124.1610031,4832,0.108564521878737,3.91448510049151,-0.864586239291051,2.58476337842509e-05
"16123",19697,28584,0.0396215,17.7763996,5144,0.721593071825963,-1.08583459058985,-0.864146844982729,2.58540609040186e-05
"16124",19698,28585,0.0398107,28.9482002,5050,0.536898572803401,-0.560734409857264,-0.863268984337167,2.58669063562616e-05
"16125",19699,28586,0.0399054,43.2551003,4928,0.297188691093268,0.111722618084415,-0.862829590028845,2.58733382682331e-05
"16126",19700,28587,0.04,31.5436001,5117,0.668542524234376,-0.43874467826795,-0.862390659706064,2.58797649851115e-05
"16127",19701,28588,0.04,45.2216988,5290,1.00845899583973,0.204157245657202,-0.862390659706064,2.58797649851115e-05
"16128",19702,28589,0.0451104,29.5466003,5390,1.2049425054382,-0.532608236475652,-0.838679142565069,2.62293264237154e-05
"16129",19703,28590,0.0553797,17,5475,1.3719534885969,-1.12232714759814,-0.791031075295185,2.6946108645193e-05
"16130",19704,28591,0.0707595,48.9490013,5377,1.1793996491904,0.379348988373682,-0.719671026898764,2.80563970408153e-05
"16131",19705,28592,0.0878481,92.6336975,5058,0.552617253571279,2.43262962693683,-0.640382393559768,2.93437823076399e-05
"16132",19706,28593,0.110063,40.0374985,4726,-0.0997079982956403,-0.0395120259268195,-0.537308469378592,3.11060756661017e-05
"16133",19707,28594,0.133987,34.8712006,4686,-0.178301402135028,-0.282339843763846,-0.426304568298215,3.31224954456242e-05
"16134",19708,28595,0.161329,43.6806984,4524,-0.496604687684549,0.131726702227256,-0.299441641390521,3.55875452127373e-05
"16135",19709,28596,0.188671,44.463501,4295,-0.946551924665044,0.168520214880708,-0.172578714482828,3.82360494651658e-05
"16136",19710,28597,0.21943,43.0581017,4351,-0.836521159289901,0.102463233302336,-0.0298614016032377,4.14518592992578e-05
"16137",19711,28598,0.248481,36.9188004,4582,-0.382644252117437,-0.186097969822056,0.104931038218114,4.47370741268654e-05
"16138",19712,28599,0.27924,85.5921021,4854,0.151790893990401,2.10165853735385,0.247648351097704,4.84996470113038e-05
"16139",19713,28600,0.31,54.1202011,5080,0.595843625682942,0.622407206722506,0.390370303832715,5.25788058694067e-05
"16140",19714,28601,0.340759,31.9218006,4842,0.128212872838584,-0.420968389734555,0.533087616712305,5.70009008123921e-05
"16141",19715,28602,0.371519,64.4049988,5116,0.666577689138391,1.10581622237108,0.675809569447316,6.17950744568832e-05
"16142",19716,28603,0.402278,31.257,5242,0.914146911232463,-0.45221553848971,0.818526882326906,6.69922956896347e-05
"16143",19717,28604,0.431329,29.0860996,5227,0.884674384792692,-0.554252822648939,0.953319322148258,7.23016855904878e-05
"16144",19718,28605,0.458671,38.3013992,5375,1.17546997899843,-0.121112663893784,1.08018224905595,7.76825378127878e-05
"16145",19721,28608,0.530443,39.0256004,5439,1.30121942514145,-0.0870735510755014,1.41319395229708,9.3790074316166e-05
"16146",19722,28609,0.54924,36.2215004,5272,0.973091964112004,-0.218872664710975,1.50040931463648,9.85346476835908e-05
"16147",19723,28610,0.566329,12.6491003,5163,0.758924938649672,-1.32682938502792,1.57969980391765,0.000103056079637259
"16148",19724,28611,0.578297,65.0922012,5254,0.937724932384279,1.13811630696441,1.63522959359036,0.000106345562078732
"16149",19725,28612,0.58,64.9768982,5449,1.32086777610129,1.13269680223936,1.64313126737149,0.00010682209935999
"16150",19726,28613,0.58,36.4828987,5425,1.27371173379766,-0.206586346731652,1.64313126737149,0.00010682209935999
"16151",19731,28618,0.58,9.2736197,5500,1.42107436599651,-1.48548469374506,1.64313126737149,0.00010682209935999
"16152",19733,28620,0.58,29.1375999,5330,1.08705239967912,-0.551832190755654,1.64313126737149,0.00010682209935999
