#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain,Site
128,546548,4021841,10,/,Reconyx,no,none,Forest,ridge,Shimshal
129,543579,4016162,10,/,Reconyx,yes,Castor,Pasture,draw,Shimshal
130,543557,4018506,10,/,Reconyx,no,none,Pasture,valley,Shimshal
131,543769,4011939,10,/,Reconyx,yes,Castor,Pasture,draw,Shimshal
132,543632,4013847,10,/,Reconyx,yes,Skunk,Pasture,draw,Shimshal
133,480509,4073685,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
134,481025,4075606,30,/,Reconyx,yes,fish_skunk,Forest,RIDGE,Misger
135,481111,4077412,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU,Misger
136,481801,4078969,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base,Misger
137,476275,4072721,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
138,478775,4070443,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
139,480927,4068328,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,Misger
140,473922,4076830,33,/,Reconyx,yes,fish_skunk,BARREN,VALLEY,Misger
141,473657,4078453,30,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base,Misger
142,474504,4080566,34,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base,Misger
143,474627,4082315,34,/,Reconyx,yes,fish_skunk,Forest,VALLEY,Misger
144,474208,4083867,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
145,475105,4085105,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base,Misger
146,474882,4086292,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
147,477602,4088669,30,/,Reconyx,yes,fish_skunk,Forest,RIDGE,Misger
148,479459,4089567,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
149,480493,4091410,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
150,481545,4093273,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,Misger
151,482668,4094940,30,/,Reconyx,yes,fish_skunk,BARREN,VALLEY,Misger
152,485143,4095491,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base,Misger
153,475244,4089415,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
154,474739,4091089,32,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
155,473718,4092253,32,/,Reconyx,yes,fish_skunk,BARREN,VALLEY,Misger
156,472983,4093575,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
157,472245,4094909,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU,Misger
158,471861,4096352,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
159,471548,4098047,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
160,475418,4087856,30,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base,Misger
161,475928,4087555,30,/,Reconyx,yes,fish_skunk,Forest,VALLEY,Misger
162,469611,4098761,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU,Misger
163,467859,4098267,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,Misger
164,466183,4097520,30,/,Reconyx,yes,fish_skunk,Pasture,SADDLE,Misger
165,463900,4096882,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
166,471050,4099395,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
167,471517,4100874,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,Misger
168,467115,4079354,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,Misger
169,468085,4082405,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
170,467831,4080810,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
171,470959,4076310,30,/,Reconyx,yes,fish_skunk,Scrub,DRAW,Misger
172,468591,4077538,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
173,465670,4079809,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
174,463929,4080792,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
175,462092,4081629,30,/,Reconyx,yes,fish_skunk,Scrub,RIDGE,Misger
