FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
93,2384,41.7014008,4139,-0.028454667,-0.95508038,0.000195699,308262.5272,3129250.081
94,2385,51.1007996,4189,0.424694653,-0.887872081,0.000195804,309262.5272,3129250.081
95,2386,64.7781982,4164,1.084088302,-0.921476231,0.000195877,310262.5272,3129250.081
96,2387,65.9283981,3376,1.139539966,-1.980679023,0.000102845,311262.5272,3129250.081
97,2388,55.3022003,3163,0.627246104,-2.266986377,6.95E-05,312262.5272,3129250.081
98,2389,54.4816017,3576,0.58768467,-1.711845827,0.000136613,313262.5272,3129250.081
99,2390,54.5637016,3879,0.591642744,-1.304563535,0.000179694,314262.5272,3129250.081
100,2391,47.4855995,4048,0.250404201,-1.077399484,0.000192956,315262.5272,3129250.081
101,2392,38.5486984,4157,-0.180447894,-0.930885392,0.000195852,316262.5272,3129250.081
102,2393,37.8484001,4319,-0.214209595,-0.713130504,0.000191437,317262.5272,3129250.081
103,2394,37.6175995,4731,-0.225336598,-0.15933412,0.000141801,318262.5272,3129250.081
104,2395,45.7709007,4923,0.167737786,0.098745748,0.000109488,319262.5272,3129250.081
105,2396,49.462101,5009,0.345692243,0.214344023,9.52E-05,320262.5272,3129250.081
106,2397,53.1195984,5491,0.522021867,0.862232025,3.27E-05,321262.5272,3129250.081
107,2398,58.2201004,5823,0.767919404,1.30849513,1.19E-05,322262.5272,3129250.081
108,2399,56.1431007,5187,0.667786298,0.453605567,6.78E-05,323262.5272,3129250.081
109,2400,43.7813988,4792,0.071822989,-0.077339995,0.000131689,324262.5272,3129250.081
110,2401,41.7771988,4653,-0.024800411,-0.264179066,0.000154149,325262.5272,3129250.081
111,2402,39.3862,4733,-0.140071558,-0.156645788,0.000141474,326262.5272,3129250.081
112,2403,44.4101982,4490,0.102137696,-0.483278121,0.000176299,327262.5272,3129250.081
113,2404,60.3618011,3855,0.871171775,-1.336823518,0.000177044,328262.5272,3129250.081
114,2405,72.2584,3457,1.444712256,-1.871801578,0.000116523,329262.5272,3129250.081
115,2406,65.4754028,4186,1.117700855,-0.891904579,0.000195826,330262.5272,3129250.081
116,2600,62.1627998,3341,0.957998747,-2.027724832,9.70E-05,303262.5272,3130250.081
117,2601,61.2509003,3301,0.914035655,-2.081491471,9.05E-05,304262.5272,3130250.081
118,2602,61.7005005,3480,0.935711087,-1.840885761,0.000120433,305262.5272,3130250.081
119,2603,64.0848999,3944,1.050664073,-1.217192746,0.000185966,306262.5272,3130250.081
120,2604,58.7355995,4713,0.792771852,-0.183529108,0.000144719,307262.5272,3130250.081
121,2605,44.2555008,4722,0.094679663,-0.171431614,0.000143264,308262.5272,3130250.081
122,2606,46.2980003,4624,0.193149499,-0.30315988,0.000158505,309262.5272,3130250.081
123,2607,55.5592995,4030,0.639640974,-1.101594472,0.000192032,310262.5272,3130250.081
124,2608,66.7717972,3438,1.180200622,-1.897340732,0.000113296,311262.5272,3130250.081
125,2609,63.1050987,3166,1.003427409,-2.262953879,6.99E-05,312262.5272,3130250.081
126,2610,60.5541,3309,0.880442593,-2.070738143,9.18E-05,313262.5272,3130250.081
127,2611,56.4925995,3882,0.684635795,-1.300531037,0.000180013,314262.5272,3130250.081
128,2612,54.0667,4049,0.567682069,-1.076055318,0.000193003,315262.5272,3130250.081
129,2613,49.7762985,4205,0.360839848,-0.866365425,0.000195627,316262.5272,3130250.081
130,2614,43.9524994,4476,0.080071827,-0.502096445,0.000177892,317262.5272,3130250.081
131,2615,42.8595009,4831,0.027377869,-0.024917522,0.000125105,318262.5272,3130250.081
132,2616,49.7496986,5218,0.359557455,0.495274712,6.35E-05,319262.5272,3130250.081
133,2617,48.7570992,4797,0.311703783,-0.070619165,0.000130848,320262.5272,3130250.081
134,2618,58.7995987,5446,0.795857282,0.801744556,3.69E-05,321262.5272,3130250.081
135,2619,57.7806015,5000,0.746730961,0.202246529,9.66E-05,322262.5272,3130250.081
136,2620,61.1663017,4961,0.909957118,0.149824055,0.000103098,323262.5272,3130250.081
137,2621,52.0974007,4670,0.472741248,-0.241328245,0.00015153,324262.5272,3130250.081
138,2622,42.5948982,4214,0.014621251,-0.854267932,0.000195482,325262.5272,3130250.081
