FID,D,x,y
417,0.000146722,340262.5272,3136250.081
418,0.000193098,341262.5272,3136250.081
419,0.000195842,277262.5272,3137250.081
420,0.000171886,278262.5272,3137250.081
421,0.000189853,279262.5272,3137250.081
422,0.000185357,280262.5272,3137250.081
423,0.00019238,281262.5272,3137250.081
424,0.00014,282262.5272,3137250.081
425,0.000189369,283262.5272,3137250.081
426,0.000186137,284262.5272,3137250.081
427,0.000177385,285262.5272,3137250.081
428,0.000190673,286262.5272,3137250.081
429,0.000156643,287262.5272,3137250.081
430,9.97E-05,288262.5272,3137250.081
431,3.40E-05,289262.5272,3137250.081
432,4.45E-05,297262.5272,3137250.081
433,6.99E-05,299262.5272,3137250.081
434,0.00016263,300262.5272,3137250.081
435,0.000107882,301262.5272,3137250.081
436,0.000165151,302262.5272,3137250.081
437,0.000193305,303262.5272,3137250.081
438,0.00012001,304262.5272,3137250.081
439,9.01E-05,305262.5272,3137250.081
440,6.08E-05,306262.5272,3137250.081
441,0.000104102,307262.5272,3137250.081
442,9.89E-05,308262.5272,3137250.081
443,5.30E-05,309262.5272,3137250.081
444,2.75E-05,310262.5272,3137250.081
445,8.31E-06,316262.5272,3137250.081
446,3.01E-05,317262.5272,3137250.081
447,8.11E-05,318262.5272,3137250.081
448,0.000104102,319262.5272,3137250.081
449,5.96E-05,320262.5272,3137250.081
450,0.000114062,321262.5272,3137250.081
451,0.000177555,322262.5272,3137250.081
452,0.000195542,323262.5272,3137250.081
453,0.000152768,324262.5272,3137250.081
454,0.000112874,325262.5272,3137250.081
455,8.50E-05,326262.5272,3137250.081
456,0.000105108,327262.5272,3137250.081
457,3.48E-05,328262.5272,3137250.081
458,7.05E-05,329262.5272,3137250.081
459,9.00E-05,330262.5272,3137250.081
460,0.000151685,331262.5272,3137250.081
461,9.30E-05,332262.5272,3137250.081
462,0.00010494,333262.5272,3137250.081
463,0.000194611,334262.5272,3137250.081
464,0.00016932,335262.5272,3137250.081
465,9.87E-05,336262.5272,3137250.081
466,4.30E-05,337262.5272,3137250.081
467,7.77E-05,340262.5272,3137250.081
468,0.000139916,341262.5272,3137250.081
469,0.00019443,342262.5272,3137250.081
470,0.00011933,276262.5272,3138250.081
471,0.000191437,277262.5272,3138250.081
472,0.000195566,278262.5272,3138250.081
473,0.00013703,279262.5272,3138250.081
474,0.000195095,280262.5272,3138250.081
475,0.000178115,281262.5272,3138250.081
476,0.000149182,282262.5272,3138250.081
477,0.000169518,283262.5272,3138250.081
478,0.000168202,284262.5272,3138250.081
479,0.000184506,285262.5272,3138250.081
480,0.000174589,286262.5272,3138250.081
481,0.000117372,287262.5272,3138250.081
482,9.21E-05,288262.5272,3138250.081
483,4.63E-05,289262.5272,3138250.081
484,3.70E-05,297262.5272,3138250.081
485,7.91E-05,298262.5272,3138250.081
486,7.24E-05,299262.5272,3138250.081
487,0.00018919,300262.5272,3138250.081
488,0.000188156,301262.5272,3138250.081
489,0.000149259,302262.5272,3138250.081
490,0.000195734,303262.5272,3138250.081
491,0.000180696,304262.5272,3138250.081
492,0.000157764,305262.5272,3138250.081
493,0.000114232,306262.5272,3138250.081
494,0.000166726,307262.5272,3138250.081
495,0.000164529,308262.5272,3138250.081
496,8.52E-05,309262.5272,3138250.081
497,1.93E-05,310262.5272,3138250.081
498,2.22E-05,312262.5272,3138250.081
499,0.000107968,313262.5272,3138250.081
500,5.18E-05,314262.5272,3138250.081
501,2.28E-05,316262.5272,3138250.081
502,0.000102263,317262.5272,3138250.081
503,0.000144074,318262.5272,3138250.081
504,0.000149182,319262.5272,3138250.081
505,0.000112874,320262.5272,3138250.081
506,0.000162134,321262.5272,3138250.081
507,0.000192932,322262.5272,3138250.081
508,0.000150282,323262.5272,3138250.081
509,8.11E-05,324262.5272,3138250.081
510,5.44E-05,325262.5272,3138250.081
511,0.000139178,326262.5272,3138250.081
512,0.000161274,327262.5272,3138250.081
513,0.000136366,328262.5272,3138250.081
514,9.01E-05,329262.5272,3138250.081
515,9.83E-05,330262.5272,3138250.081
516,0.00017653,331262.5272,3138250.081
517,0.000154301,332262.5272,3138250.081
518,0.000195566,333262.5272,3138250.081
519,0.000161488,334262.5272,3138250.081
520,9.77E-05,335262.5272,3138250.081
521,5.27E-05,336262.5272,3138250.081
522,3.52E-05,337262.5272,3138250.081
523,3.52E-05,340262.5272,3138250.081
524,0.000105526,341262.5272,3138250.081
525,0.000171127,342262.5272,3138250.081
526,9.25E-05,275262.5272,3139250.081
527,0.000145523,276262.5272,3139250.081
528,0.000155667,277262.5272,3139250.081
529,0.00010915,278262.5272,3139250.081
530,9.58E-05,279262.5272,3139250.081
531,0.000151374,280262.5272,3139250.081
532,0.000135202,281262.5272,3139250.081
533,0.00011627,282262.5272,3139250.081
534,0.000186849,283262.5272,3139250.081
535,0.000195872,284262.5272,3139250.081
536,0.000182068,285262.5272,3139250.081
537,0.000139587,286262.5272,3139250.081
538,5.79E-05,287262.5272,3139250.081
539,4.49E-05,288262.5272,3139250.081
540,3.07E-05,289262.5272,3139250.081
541,4.48E-05,295262.5272,3139250.081
542,3.45E-05,298262.5272,3139250.081
543,0.000110923,299262.5272,3139250.081
544,0.000192406,300262.5272,3139250.081
545,0.000177668,301262.5272,3139250.081
546,0.000190286,302262.5272,3139250.081
547,0.00015739,303262.5272,3139250.081
548,0.000188533,304262.5272,3139250.081
549,0.000194238,305262.5272,3139250.081
550,0.000192786,306262.5272,3139250.081
551,0.000195654,307262.5272,3139250.081
552,0.000145363,308262.5272,3139250.081
553,2.28E-05,309262.5272,3139250.081
554,3.98E-05,311262.5272,3139250.081
555,0.000124426,312262.5272,3139250.081
556,0.000182613,313262.5272,3139250.081
557,8.73E-05,314262.5272,3139250.081
558,1.33E-05,316262.5272,3139250.081
559,6.42E-05,317262.5272,3139250.081
560,6.49E-05,318262.5272,3139250.081
561,0.00015657,319262.5272,3139250.081
