"","x","y"
"2390",314262.5272,3129250.081
"2391",315262.5272,3129250.081
"2392",316262.5272,3129250.081
"2393",317262.5272,3129250.081
"2394",318262.5272,3129250.081
"2395",319262.5272,3129250.081
"2396",320262.5272,3129250.081
"2397",321262.5272,3129250.081
"2398",322262.5272,3129250.081
"2399",323262.5272,3129250.081
"2400",324262.5272,3129250.081
"2401",325262.5272,3129250.081
"2402",326262.5272,3129250.081
"2403",327262.5272,3129250.081
"2404",328262.5272,3129250.081
"2405",329262.5272,3129250.081
"2406",330262.5272,3129250.081
"2600",303262.5272,3130250.081
"2601",304262.5272,3130250.081
"2602",305262.5272,3130250.081
"2603",306262.5272,3130250.081
"2604",307262.5272,3130250.081
"2605",308262.5272,3130250.081
"2606",309262.5272,3130250.081
"2607",310262.5272,3130250.081
"2608",311262.5272,3130250.081
"2609",312262.5272,3130250.081
"2610",313262.5272,3130250.081
"2611",314262.5272,3130250.081
"2612",315262.5272,3130250.081
"2613",316262.5272,3130250.081
"2614",317262.5272,3130250.081
"2615",318262.5272,3130250.081
"2616",319262.5272,3130250.081
"2617",320262.5272,3130250.081
"2618",321262.5272,3130250.081
"2619",322262.5272,3130250.081
"2620",323262.5272,3130250.081
"2621",324262.5272,3130250.081
"2622",325262.5272,3130250.081
"2623",326262.5272,3130250.081
"2624",327262.5272,3130250.081
"2625",328262.5272,3130250.081
"2626",329262.5272,3130250.081
"2627",330262.5272,3130250.081
"2628",331262.5272,3130250.081
"2629",332262.5272,3130250.081
"2808",290262.5272,3131250.081
"2817",299262.5272,3131250.081
"2818",300262.5272,3131250.081
"2819",301262.5272,3131250.081
"2820",302262.5272,3131250.081
"2821",303262.5272,3131250.081
"2822",304262.5272,3131250.081
"2823",305262.5272,3131250.081
"2824",306262.5272,3131250.081
"2825",307262.5272,3131250.081
"2826",308262.5272,3131250.081
"2827",309262.5272,3131250.081
"2828",310262.5272,3131250.081
"2829",311262.5272,3131250.081
"2830",312262.5272,3131250.081
"2831",313262.5272,3131250.081
"2832",314262.5272,3131250.081
"2833",315262.5272,3131250.081
"2834",316262.5272,3131250.081
"2835",317262.5272,3131250.081
"2836",318262.5272,3131250.081
"2837",319262.5272,3131250.081
"2838",320262.5272,3131250.081
"2839",321262.5272,3131250.081
"2840",322262.5272,3131250.081
"2841",323262.5272,3131250.081
