FID,FID_,Field1,Rgd,Alt,StdRgd,StdAlt,D_0,x,y
4454,11870,24807,35.798500099999998,5307,-0.313036213000000,0.614905485000000,0.000052000000000,189262.527200000010000,3231250.080999999800000
4455,11871,24808,38.342998500000000,5116,-0.190364780000000,0.358169782000000,0.000078200000000,190262.527200000010000,3231250.080999999800000
4456,11872,24809,44.926299999999998,5480,0.127019200000000,0.847446199000000,0.000033700000000,191262.527200000010000,3231250.080999999800000
4457,11873,24810,48.694801300000002,5690,0.308700373000000,1.129721055000000,0.000018300000000,192262.527200000010000,3231250.080999999800000
4458,11874,24811,43.817901599999999,5930,0.073582805000000,1.452320890000000,0.000008190000000,193262.527200000010000,3231250.080999999800000
4459,11875,24812,38.912700700000002,5597,-0.162899176000000,1.004713619000000,0.000024300000000,194262.527200000010000,3231250.080999999800000
4460,11876,24813,38.644199399999998,5178,-0.175843747000000,0.441508073000000,0.000069100000000,195262.527200000010000,3231250.080999999800000
4461,11877,24814,36.856498700000003,4922,-0.262029616000000,0.097401582000000,0.000109657000000,196262.527200000010000,3231250.080999999800000
4462,11878,24815,28.466199899999999,4498,-0.666529763000000,-0.472524793000000,0.000175364000000,197262.527200000010000,3231250.080999999800000
4463,11879,24816,26.379100800000000,4394,-0.767149766000000,-0.612318055000000,0.000186010000000,198262.527200000010000,3231250.080999999800000
4464,11880,24817,23.038200400000001,4247,-0.928216104000000,-0.809910454000000,0.000194674000000,199262.527200000010000,3231250.080999999800000
4465,11881,24818,18.380600000000001,4083,-1.152761152000000,-1.030353675000000,0.000194396000000,200262.527200000010000,3231250.080999999800000
4466,11882,24819,15.163800200000001,4004,-1.307844543000000,-1.136542787000000,0.000190481000000,201262.527200000010000,3231250.080999999800000
4467,11883,24820,15.118200300000000,3929,-1.310042935000000,-1.237355236000000,0.000184641000000,202262.527200000010000,3231250.080999999800000
4468,11884,24821,16.938800799999999,3922,-1.222270952000000,-1.246764398000000,0.000183997000000,203262.527200000010000,3231250.080999999800000
4469,11885,24822,17.753400800000001,3815,-1.182998713000000,-1.390590158000000,0.000172262000000,204262.527200000010000,3231250.080999999800000
4470,11886,24823,17.338600199999998,3730,-1.202996440000000,-1.504844266000000,0.000160767000000,205262.527200000010000,3231250.080999999800000
4471,11887,24824,26.865200000000002,3666,-0.743714701000000,-1.590870889000000,0.000151139000000,206262.527200000010000,3231250.080999999800000
4472,11888,24825,34.247798899999999,3868,-0.387796228000000,-1.319349361000000,0.000178501000000,207262.527200000010000,3231250.080999999800000
4473,11889,24826,33.001598399999999,4011,-0.447876125000000,-1.127133625000000,0.000190923000000,208262.527200000010000,3231250.080999999800000
4474,11890,24827,31.719400400000001,4142,-0.509691477000000,-0.951047882000000,0.000195734000000,209262.527200000010000,3231250.080999999800000
4475,11891,24828,31.306600599999999,4176,-0.529592745000000,-0.905346239000000,0.000195873000000,210262.527200000010000,3231250.080999999800000
4476,11892,24829,39.012401599999997,4269,-0.158092550000000,-0.780338803000000,0.000193897000000,211262.527200000010000,3231250.080999999800000
4477,11893,24830,45.395401000000000,3771,0.149634774000000,-1.449733461000000,0.000166520000000,212262.527200000010000,3231250.080999999800000
4478,11894,24831,47.233798999999998,3846,0.238264783000000,-1.348921012000000,0.000176007000000,213262.527200000010000,3231250.080999999800000
4479,11895,24832,45.423099499999999,4117,0.150970131000000,-0.984652032000000,0.000195336000000,214262.527200000010000,3231250.080999999800000
4480,11896,24833,39.766498599999998,3945,-0.121737188000000,-1.215848580000000,0.000186051000000,215262.527200000010000,3231250.080999999800000
4481,11897,24834,41.569400799999997,3945,-0.034818448000000,-1.215848580000000,0.000186051000000,216262.527200000010000,3231250.080999999800000
4482,11898,24835,44.151798200000002,4279,0.089680113000000,-0.766897143000000,0.000193482000000,217262.527200000010000,3231250.080999999800000
4483,11899,24836,37.068199200000002,4616,-0.251823438000000,-0.313913208000000,0.000159679000000,218262.527200000010000,3231250.080999999800000
4484,11900,24837,28.206600200000000,4650,-0.679045183000000,-0.268211564000000,0.000154606000000,219262.527200000010000,3231250.080999999800000
4485,11901,24838,29.550199500000002,4823,-0.614269646000000,-0.035670850000000,0.000126460000000,220262.527200000010000,3231250.080999999800000
4486,11902,24839,29.172500599999999,4983,-0.632478683000000,0.179395707000000,0.000099400000000,221262.527200000010000,3231250.080999999800000
4487,11903,24840,38.283599899999999,5273,-0.193228414000000,0.569203841000000,0.000056300000000,222262.527200000010000,3231250.080999999800000
4488,11904,24841,41.155300099999998,5544,-0.054782432000000,0.933472822000000,0.000028300000000,223262.527200000010000,3231250.080999999800000
4489,11905,24842,31.809900299999999,5685,-0.505328436000000,1.123000225000000,0.000018600000000,224262.527200000010000,3231250.080999999800000
4490,11959,25015,31.927000000000000,5751,-0.499683005000000,1.211715180000000,0.000015100000000,176262.527200000010000,3232250.080999999800000
4491,11960,25016,41.928798700000002,5835,-0.017491710000000,1.324625122000000,0.000011400000000,177262.527200000010000,3232250.080999999800000
4492,11961,25017,37.111499799999997,5764,-0.249735896000000,1.229189337000000,0.000014500000000,178262.527200000010000,3232250.080999999800000
4493,11962,25018,31.040899300000000,5799,-0.542402326000000,1.276235147000000,0.000012900000000,179262.527200000010000,3232250.080999999800000
4494,11963,25019,32.291599300000001,5724,-0.482105506000000,1.175422698000000,0.000016500000000,180262.527200000010000,3232250.080999999800000
4495,11964,25020,40.752300300000002,5927,-0.074211237000000,1.448288392000000,0.000008280000000,181262.527200000010000,3232250.080999999800000
4496,11965,25021,36.357799499999999,5639,-0.286072133000000,1.061168590000000,0.000021500000000,182262.527200000010000,3232250.080999999800000
4497,11966,25022,34.967201199999998,5540,-0.353113514000000,0.928096158000000,0.000028600000000,183262.527200000010000,3232250.080999999800000
