"","x","y"
"1125",262190.6522,3179259.456
"1126",265396.9022,3179259.456
"1127",268603.1522,3179259.456
"1155",153178.1522,3182465.706
"1156",156384.4022,3182465.706
"1157",159590.6522,3182465.706
"1158",162796.9022,3182465.706
"1159",166003.1522,3182465.706
"1160",169209.4022,3182465.706
"1161",172415.6522,3182465.706
"1163",178828.1522,3182465.706
"1164",182034.4022,3182465.706
"1165",185240.6522,3182465.706
"1166",188446.9022,3182465.706
"1167",191653.1522,3182465.706
"1168",194859.4022,3182465.706
"1169",198065.6522,3182465.706
"1170",201271.9022,3182465.706
"1171",204478.1522,3182465.706
"1172",207684.4022,3182465.706
"1174",214096.9022,3182465.706
"1175",217303.1522,3182465.706
"1176",220509.4022,3182465.706
"1177",223715.6522,3182465.706
"1178",226921.9022,3182465.706
"1179",230128.1522,3182465.706
"1180",233334.4022,3182465.706
"1181",236540.6522,3182465.706
"1184",246159.4022,3182465.706
"1186",252571.9022,3182465.706
"1219",153178.1522,3185671.956
"1220",156384.4022,3185671.956
"1221",159590.6522,3185671.956
"1223",166003.1522,3185671.956
"1224",169209.4022,3185671.956
"1225",172415.6522,3185671.956
"1226",175621.9022,3185671.956
"1227",178828.1522,3185671.956
"1228",182034.4022,3185671.956
"1229",185240.6522,3185671.956
"1230",188446.9022,3185671.956
"1231",191653.1522,3185671.956
"1232",194859.4022,3185671.956
"1233",198065.6522,3185671.956
"1234",201271.9022,3185671.956
"1235",204478.1522,3185671.956
"1236",207684.4022,3185671.956
"1237",210890.6522,3185671.956
"1238",214096.9022,3185671.956
"1239",217303.1522,3185671.956
"1240",220509.4022,3185671.956
"1241",223715.6522,3185671.956
"1242",226921.9022,3185671.956
"1243",230128.1522,3185671.956
"1244",233334.4022,3185671.956
"1245",236540.6522,3185671.956
"1246",239746.9022,3185671.956
"1247",242953.1522,3185671.956
"1283",153178.1522,3188878.206
"1285",159590.6522,3188878.206
"1286",162796.9022,3188878.206
"1287",166003.1522,3188878.206
"1288",169209.4022,3188878.206
"1289",172415.6522,3188878.206
"1290",175621.9022,3188878.206
"1291",178828.1522,3188878.206
"1292",182034.4022,3188878.206
"1293",185240.6522,3188878.206
"1294",188446.9022,3188878.206
"1295",191653.1522,3188878.206
"1296",194859.4022,3188878.206
"1297",198065.6522,3188878.206
"1298",201271.9022,3188878.206
"1299",204478.1522,3188878.206
"1300",207684.4022,3188878.206
"1301",210890.6522,3188878.206
"1302",214096.9022,3188878.206
"1303",217303.1522,3188878.206
"1304",220509.4022,3188878.206
"1305",223715.6522,3188878.206
"1306",226921.9022,3188878.206
"1307",230128.1522,3188878.206
"1308",233334.4022,3188878.206
"1309",236540.6522,3188878.206
"1310",239746.9022,3188878.206
"1311",242953.1522,3188878.206
"1312",246159.4022,3188878.206
"1347",153178.1522,3192084.456
"1348",156384.4022,3192084.456
"1349",159590.6522,3192084.456
"1350",162796.9022,3192084.456
"1351",166003.1522,3192084.456
"1352",169209.4022,3192084.456
"1353",172415.6522,3192084.456
"1354",175621.9022,3192084.456
"1355",178828.1522,3192084.456
"1356",182034.4022,3192084.456
"1357",185240.6522,3192084.456
"1358",188446.9022,3192084.456
"1359",191653.1522,3192084.456
"1360",194859.4022,3192084.456
"1361",198065.6522,3192084.456
"1362",201271.9022,3192084.456
"1363",204478.1522,3192084.456
"1364",207684.4022,3192084.456
"1365",210890.6522,3192084.456
"1366",214096.9022,3192084.456
"1367",217303.1522,3192084.456
"1368",220509.4022,3192084.456
"1369",223715.6522,3192084.456
"1370",226921.9022,3192084.456
"1371",230128.1522,3192084.456
"1372",233334.4022,3192084.456
"1373",236540.6522,3192084.456
"1374",239746.9022,3192084.456
"1375",242953.1522,3192084.456
"1410",149971.9022,3195290.706
"1411",153178.1522,3195290.706
"1414",162796.9022,3195290.706
"1415",166003.1522,3195290.706
"1416",169209.4022,3195290.706
"1417",172415.6522,3195290.706
"1418",175621.9022,3195290.706
"1419",178828.1522,3195290.706
"1420",182034.4022,3195290.706
"1421",185240.6522,3195290.706
"1422",188446.9022,3195290.706
"1423",191653.1522,3195290.706
"1424",194859.4022,3195290.706
"1425",198065.6522,3195290.706
"1426",201271.9022,3195290.706
"1427",204478.1522,3195290.706
"1428",207684.4022,3195290.706
"1429",210890.6522,3195290.706
"1430",214096.9022,3195290.706
"1431",217303.1522,3195290.706
"1432",220509.4022,3195290.706
"1433",223715.6522,3195290.706
"1434",226921.9022,3195290.706
"1435",230128.1522,3195290.706
"1436",233334.4022,3195290.706
"1437",236540.6522,3195290.706
"1438",239746.9022,3195290.706
"1474",149971.9022,3198496.956
"1475",153178.1522,3198496.956
"1476",156384.4022,3198496.956
"1477",159590.6522,3198496.956
"1478",162796.9022,3198496.956
"1479",166003.1522,3198496.956
"1480",169209.4022,3198496.956
"1481",172415.6522,3198496.956
"1482",175621.9022,3198496.956
"1483",178828.1522,3198496.956
"1484",182034.4022,3198496.956
"1485",185240.6522,3198496.956
"1486",188446.9022,3198496.956
"1487",191653.1522,3198496.956
"1488",194859.4022,3198496.956
"1489",198065.6522,3198496.956
"1490",201271.9022,3198496.956
"1491",204478.1522,3198496.956
"1492",207684.4022,3198496.956
"1493",210890.6522,3198496.956
"1494",214096.9022,3198496.956
"1495",217303.1522,3198496.956
"1498",226921.9022,3198496.956
"1499",230128.1522,3198496.956
"1500",233334.4022,3198496.956
"1538",149971.9022,3201703.206
"1539",153178.1522,3201703.206
"1540",156384.4022,3201703.206
"1541",159590.6522,3201703.206
"1542",162796.9022,3201703.206
"1543",166003.1522,3201703.206
"1544",169209.4022,3201703.206
"1545",172415.6522,3201703.206
"1546",175621.9022,3201703.206
"1547",178828.1522,3201703.206
"1548",182034.4022,3201703.206
"1549",185240.6522,3201703.206
"1550",188446.9022,3201703.206
"1551",191653.1522,3201703.206
"1552",194859.4022,3201703.206
"1553",198065.6522,3201703.206
"1554",201271.9022,3201703.206
"1555",204478.1522,3201703.206
"1556",207684.4022,3201703.206
"1557",210890.6522,3201703.206
"1558",214096.9022,3201703.206
"1559",217303.1522,3201703.206
"1561",223715.6522,3201703.206
"1562",226921.9022,3201703.206
"1602",149971.9022,3204909.456
"1603",153178.1522,3204909.456
"1604",156384.4022,3204909.456
"1605",159590.6522,3204909.456
"1606",162796.9022,3204909.456
"1607",166003.1522,3204909.456
"1608",169209.4022,3204909.456
"1609",172415.6522,3204909.456
"1610",175621.9022,3204909.456
"1611",178828.1522,3204909.456
"1612",182034.4022,3204909.456
"1613",185240.6522,3204909.456
"1614",188446.9022,3204909.456
"1615",191653.1522,3204909.456
"1616",194859.4022,3204909.456
"1617",198065.6522,3204909.456
"1618",201271.9022,3204909.456
"1619",204478.1522,3204909.456
"1620",207684.4022,3204909.456
"1621",210890.6522,3204909.456
"1622",214096.9022,3204909.456
"1623",217303.1522,3204909.456
"1625",223715.6522,3204909.456
"1626",226921.9022,3204909.456
"1666",149971.9022,3208115.706
"1667",153178.1522,3208115.706
"1668",156384.4022,3208115.706
"1669",159590.6522,3208115.706
"1670",162796.9022,3208115.706
"1671",166003.1522,3208115.706
"1672",169209.4022,3208115.706
"1673",172415.6522,3208115.706
"1674",175621.9022,3208115.706
"1675",178828.1522,3208115.706
"1676",182034.4022,3208115.706
"1677",185240.6522,3208115.706
"1678",188446.9022,3208115.706
"1679",191653.1522,3208115.706
"1680",194859.4022,3208115.706
"1681",198065.6522,3208115.706
"1682",201271.9022,3208115.706
"1683",204478.1522,3208115.706
"1684",207684.4022,3208115.706
"1685",210890.6522,3208115.706
"1686",214096.9022,3208115.706
"1687",217303.1522,3208115.706
"1688",220509.4022,3208115.706
"1689",223715.6522,3208115.706
"1690",226921.9022,3208115.706
"1691",230128.1522,3208115.706
"1730",149971.9022,3211321.956
"1731",153178.1522,3211321.956
"1732",156384.4022,3211321.956
"1733",159590.6522,3211321.956
"1734",162796.9022,3211321.956
"1735",166003.1522,3211321.956
"1736",169209.4022,3211321.956
"1737",172415.6522,3211321.956
"1738",175621.9022,3211321.956
"1739",178828.1522,3211321.956
"1740",182034.4022,3211321.956
"1741",185240.6522,3211321.956
"1742",188446.9022,3211321.956
"1743",191653.1522,3211321.956
"1744",194859.4022,3211321.956
"1745",198065.6522,3211321.956
"1746",201271.9022,3211321.956
"1747",204478.1522,3211321.956
"1748",207684.4022,3211321.956
"1749",210890.6522,3211321.956
"1750",214096.9022,3211321.956
"1751",217303.1522,3211321.956
"1752",220509.4022,3211321.956
"1753",223715.6522,3211321.956
"1754",226921.9022,3211321.956
"1755",230128.1522,3211321.956
"1794",149971.9022,3214528.206
"1795",153178.1522,3214528.206
"1796",156384.4022,3214528.206
"1797",159590.6522,3214528.206
"1798",162796.9022,3214528.206
"1799",166003.1522,3214528.206
"1800",169209.4022,3214528.206
"1801",172415.6522,3214528.206
"1802",175621.9022,3214528.206
"1803",178828.1522,3214528.206
"1804",182034.4022,3214528.206
"1806",188446.9022,3214528.206
"1807",191653.1522,3214528.206
"1808",194859.4022,3214528.206
"1809",198065.6522,3214528.206
"1810",201271.9022,3214528.206
"1811",204478.1522,3214528.206
"1812",207684.4022,3214528.206
"1813",210890.6522,3214528.206
"1814",214096.9022,3214528.206
"1815",217303.1522,3214528.206
"1816",220509.4022,3214528.206
"1817",223715.6522,3214528.206
"1818",226921.9022,3214528.206
"1819",230128.1522,3214528.206
"1858",149971.9022,3217734.456
"1859",153178.1522,3217734.456
"1860",156384.4022,3217734.456
"1861",159590.6522,3217734.456
"1862",162796.9022,3217734.456
"1863",166003.1522,3217734.456
"1864",169209.4022,3217734.456
"1865",172415.6522,3217734.456
"1866",175621.9022,3217734.456
"1867",178828.1522,3217734.456
"1868",182034.4022,3217734.456
"1869",185240.6522,3217734.456
"1870",188446.9022,3217734.456
"1871",191653.1522,3217734.456
"1872",194859.4022,3217734.456
"1873",198065.6522,3217734.456
"1874",201271.9022,3217734.456
"1875",204478.1522,3217734.456
"1876",207684.4022,3217734.456
"1877",210890.6522,3217734.456
"1878",214096.9022,3217734.456
"1879",217303.1522,3217734.456
"1880",220509.4022,3217734.456
"1881",223715.6522,3217734.456
"1922",149971.9022,3220940.706
"1923",153178.1522,3220940.706
"1924",156384.4022,3220940.706
"1925",159590.6522,3220940.706
"1926",162796.9022,3220940.706
"1927",166003.1522,3220940.706
"1928",169209.4022,3220940.706
"1929",172415.6522,3220940.706
"1930",175621.9022,3220940.706
"1931",178828.1522,3220940.706
"1932",182034.4022,3220940.706
"1933",185240.6522,3220940.706
"1934",188446.9022,3220940.706
"1935",191653.1522,3220940.706
"1936",194859.4022,3220940.706
"1937",198065.6522,3220940.706
"1938",201271.9022,3220940.706
"1939",204478.1522,3220940.706
"1940",207684.4022,3220940.706
"1941",210890.6522,3220940.706
"1942",214096.9022,3220940.706
"1943",217303.1522,3220940.706
"1944",220509.4022,3220940.706
"1945",223715.6522,3220940.706
"1946",226921.9022,3220940.706
"1985",146765.6522,3224146.956
"1986",149971.9022,3224146.956
"1987",153178.1522,3224146.956
"1988",156384.4022,3224146.956
"1989",159590.6522,3224146.956
"1990",162796.9022,3224146.956
"1991",166003.1522,3224146.956
"1992",169209.4022,3224146.956
"1993",172415.6522,3224146.956
"1994",175621.9022,3224146.956
"1997",185240.6522,3224146.956
"1998",188446.9022,3224146.956
"1999",191653.1522,3224146.956
"2000",194859.4022,3224146.956
"2001",198065.6522,3224146.956
"2002",201271.9022,3224146.956
"2003",204478.1522,3224146.956
"2004",207684.4022,3224146.956
"2005",210890.6522,3224146.956
"2006",214096.9022,3224146.956
"2007",217303.1522,3224146.956
"2008",220509.4022,3224146.956
"2009",223715.6522,3224146.956
"2010",226921.9022,3224146.956
"2049",146765.6522,3227353.206
"2050",149971.9022,3227353.206
"2051",153178.1522,3227353.206
"2052",156384.4022,3227353.206
"2053",159590.6522,3227353.206
"2054",162796.9022,3227353.206
"2055",166003.1522,3227353.206
"2056",169209.4022,3227353.206
"2057",172415.6522,3227353.206
"2058",175621.9022,3227353.206
"2059",178828.1522,3227353.206
"2060",182034.4022,3227353.206
"2061",185240.6522,3227353.206
"2062",188446.9022,3227353.206
