FID,Field1,x,y,Rgd,Alt
78,2179,324262.527200000010000,3128250.080999999800000,45.9324989,5272.0000000
79,2180,325262.527200000010000,3128250.080999999800000,42.5192986,4815.0000000
80,2181,326262.527200000010000,3128250.080999999800000,49.5037994,4270.0000000
81,2182,327262.527200000010000,3128250.080999999800000,56.1072006,4250.0000000
82,2183,328262.527200000010000,3128250.080999999800000,59.5573997,3716.0000000
83,2184,329262.527200000010000,3128250.080999999800000,58.2214012,3188.0000000
84,2375,299262.527200000010000,3129250.080999999800000,59.4865990,2746.0000000
85,2376,300262.527200000010000,3129250.080999999800000,51.5830002,2785.0000000
86,2377,301262.527200000010000,3129250.080999999800000,50.2607002,3079.0000000
87,2378,302262.527200000010000,3129250.080999999800000,54.5980988,3063.0000000
88,2379,303262.527200000010000,3129250.080999999800000,58.6806984,3386.0000000
89,2380,304262.527200000010000,3129250.080999999800000,60.5806999,4026.0000000
90,2381,305262.527200000010000,3129250.080999999800000,54.2929993,3761.0000000
91,2382,306262.527200000010000,3129250.080999999800000,54.9964981,4226.0000000
92,2383,307262.527200000010000,3129250.080999999800000,45.6659012,4474.0000000
93,2384,308262.527200000010000,3129250.080999999800000,41.7014008,4139.0000000
94,2385,309262.527200000010000,3129250.080999999800000,51.1007996,4189.0000000
95,2386,310262.527200000010000,3129250.080999999800000,64.7781982,4164.0000000
96,2387,311262.527200000010000,3129250.080999999800000,65.9283981,3376.0000000
97,2388,312262.527200000010000,3129250.080999999800000,55.3022003,3163.0000000
98,2389,313262.527200000010000,3129250.080999999800000,54.4816017,3576.0000000
99,2390,314262.527200000010000,3129250.080999999800000,54.5637016,3879.0000000
100,2391,315262.527200000010000,3129250.080999999800000,47.4855995,4048.0000000
101,2392,316262.527200000010000,3129250.080999999800000,38.5486984,4157.0000000
102,2393,317262.527200000010000,3129250.080999999800000,37.8484001,4319.0000000
103,2394,318262.527200000010000,3129250.080999999800000,37.6175995,4731.0000000
104,2395,319262.527200000010000,3129250.080999999800000,45.7709007,4923.0000000
105,2396,320262.527200000010000,3129250.080999999800000,49.4621010,5009.0000000
106,2397,321262.527200000010000,3129250.080999999800000,53.1195984,5491.0000000
107,2398,322262.527200000010000,3129250.080999999800000,58.2201004,5823.0000000
108,2399,323262.527200000010000,3129250.080999999800000,56.1431007,5187.0000000
109,2400,324262.527200000010000,3129250.080999999800000,43.7813988,4792.0000000
110,2401,325262.527200000010000,3129250.080999999800000,41.7771988,4653.0000000
111,2402,326262.527200000010000,3129250.080999999800000,39.3862000,4733.0000000
112,2403,327262.527200000010000,3129250.080999999800000,44.4101982,4490.0000000
113,2404,328262.527200000010000,3129250.080999999800000,60.3618011,3855.0000000
114,2405,329262.527200000010000,3129250.080999999800000,72.2584000,3457.0000000
115,2406,330262.527200000010000,3129250.080999999800000,65.4754028,4186.0000000
116,2600,303262.527200000010000,3130250.080999999800000,62.1627998,3341.0000000
117,2601,304262.527200000010000,3130250.080999999800000,61.2509003,3301.0000000
118,2602,305262.527200000010000,3130250.080999999800000,61.7005005,3480.0000000
119,2603,306262.527200000010000,3130250.080999999800000,64.0848999,3944.0000000
120,2604,307262.527200000010000,3130250.080999999800000,58.7355995,4713.0000000
121,2605,308262.527200000010000,3130250.080999999800000,44.2555008,4722.0000000
122,2606,309262.527200000010000,3130250.080999999800000,46.2980003,4624.0000000
123,2607,310262.527200000010000,3130250.080999999800000,55.5592995,4030.0000000
124,2608,311262.527200000010000,3130250.080999999800000,66.7717972,3438.0000000
125,2609,312262.527200000010000,3130250.080999999800000,63.1050987,3166.0000000
126,2610,313262.527200000010000,3130250.080999999800000,60.5541000,3309.0000000
