#Session,ID,Occasion,Detector,Sex,Site
2,Brad,1,NoyonSLT009,NA,Noyon
2,Abi,1,NoyonSLT014,NA,Noyon
2,Abi,1,NoyonSLT014,NA,Noyon
2,Matt,1,NoyonSLT014,NA,Noyon
2,Deborah,1,NoyonSLT015,NA,Noyon
2,Kimberley,1,NoyonSLT015,NA,Noyon
2,Brad,1,NoyonSLT015,NA,Noyon
2,Brad,1,NoyonSLT015,NA,Noyon
2,Abi,1,NoyonSLT018,NA,Noyon
2,Matt,1,NoyonSLT018,NA,Noyon
2,Matt,1,NoyonSLT019,NA,Noyon
2,Marika,1,NoyonSLT020,NA,Noyon
2,Matt,1,NoyonSLT020,NA,Noyon
2,Antonia,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Antonia,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Siri,1,NoyonSLT023,NA,Noyon
2,Katie,1,NoyonSLT023,NA,Noyon
2,Matt,1,NoyonSLT024,NA,Noyon
2,Arnica,1,NoyonSLT024,NA,Noyon
2,Matt,1,NoyonSLT024,NA,Noyon
2,Marika,1,NoyonSLT025,NA,Noyon
2,?,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Arnica,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Arnica,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Matt,1,NoyonSLT033,NA,Noyon
2,Abi,1,NoyonSLT033,NA,Noyon
2,Matt,1,NoyonSLT033,NA,Noyon
2,Siri,1,NoyonSLT034,NA,Noyon
2,Siri,1,NoyonSLT034,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Kimberley,1,NoyonSLT037,NA,Noyon
2,Deborah,1,NoyonSLT037,NA,Noyon
2,Katie,1,NoyonSLT040,NA,Noyon
2,Siri,1,NoyonSLT040,NA,Noyon
2,Kimberley,1,NoyonSLT040,NA,Noyon
2,Siri,1,NoyonSLT041,NA,Noyon
2,Jen,1,NoyonSLT041,NA,Noyon
2,J Cub,1,NoyonSLT041,NA,Noyon
2,J Cub,1,NoyonSLT041,NA,Noyon
2,Siri,1,NoyonSLT041,NA,Noyon
2,Brad,1,NoyonSLT102,NA,Noyon
2,Brad,1,NoyonSLT102,NA,Noyon
2,Siri,1,NoyonSLT103,NA,Noyon
2,Matt,1,NoyonSLT103,NA,Noyon
2,Scarface,1,NoyonSLT103,NA,Noyon
2,Siri,1,NoyonSLT104,NA,Noyon
2,Brad,1,NoyonSLT104,NA,Noyon
2,Siri,1,NoyonSLT105a,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Katie,1,NoyonSLT105,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Matt,1,NoyonSLT107,NA,Noyon
2,Matt,1,NoyonSLT107,NA,Noyon
2,Arnica,1,NoyonSLT108,NA,Noyon
2,Amber,1,NoyonSLT108,NA,Noyon
2,Matt,1,NoyonSLT108,NA,Noyon
2,Amber,1,NoyonSLT108,NA,Noyon
2,Matt,1,NoyonSLT108,NA,Noyon
